Name,Season,TB,xTB,BB,xBB,AB,xAB,H,xH,SB,xSB,CS,xCS,MB,xMB
Trea Turner,2025.0,269.0,262.039026249901,43.0,41.34301295377808,589.0,597.6640144457713,179.0,167.1386396213416,36.0,37.490713715502864,7.0,7.3745509059166645,99.0,90.0
Victor Scott II,2025.0,118.0,139.29070655569015,42.0,37.446930636224565,398.0,388.5455675489048,86.0,96.64781686797808,34.0,26.598027308074407,4.0,5.652077226989567,40.0,49.0
Bobby Witt Jr.,2025.0,312.0,321.10803045484465,49.0,46.552468246197996,623.0,625.745910261076,184.0,184.8432988684615,38.0,35.37485429521945,9.0,7.019054038705358,111.0,114.0
Byron Buxton,2025.0,269.0,252.70053031918468,41.0,42.29849101350937,488.0,486.63291288768903,129.0,131.94353212638495,24.0,23.089898173217282,0.0,5.056837468432145,92.0,89.0
Derek Hill,2025.0,44.0,46.676094151980195,9.0,4.8264659482351995,134.0,146.0474411871847,29.0,38.633490768477834,7.0,8.230786716513983,0.0,2.042175407099827,13.0,15.0
Johan Rojas,2025.0,44.0,47.00234183061228,13.0,4.731346540236828,152.0,171.47405772524874,34.0,38.78063918023154,12.0,9.021726909181089,2.0,2.1996196161564696,14.0,13.0
Brandon Lockridge,2025.0,40.0,40.882954400626204,8.0,0.0,134.0,165.95141399265367,31.0,41.858164609577564,10.0,8.917176938441507,1.0,2.17544699991017,12.0,12.0
Eli White,2025.0,104.0,102.34724772613316,11.0,9.772030953658899,256.0,255.85232586741915,60.0,66.96533778622887,10.0,10.639321146509866,1.0,2.583949671554215,29.0,31.0
Jake McCarthy,2025.0,71.0,81.30202238094172,10.0,14.500999471280402,206.0,213.01674439697723,42.0,51.18657347913404,6.0,10.161035820504718,0.0,2.490524486893793,18.0,25.0
Bryce Teodosio,2025.0,42.0,43.01670089761703,5.0,0.0,138.0,176.42571787291806,28.0,33.37488795237099,7.0,8.037213139132147,1.0,2.01080931824683,10.0,9.0
Corbin Carroll,2025.0,305.0,286.6535878061983,67.0,54.2086636683819,564.0,581.0274378936134,146.0,161.17538687988747,32.0,30.059796966704152,6.0,6.546198328897262,106.0,101.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Chandler Simpson,2025.0,143.0,122.94220046382763,20.0,16.28257293577478,414.0,380.71258913850437,122.0,111.69508247987952,44.0,23.760357044331343,12.0,4.997348372277917,51.0,44.0
Tyler Fitzgerald,2025.0,71.0,72.07034846118088,17.0,9.774189485245433,217.0,237.7617909072799,47.0,47.827696145285856,9.0,8.923935405512134,4.0,2.3147952978560817,19.0,17.0
,,,,,,,,,,,,,,,
Denzel Clarke,2025.0,55.0,37.44068342247175,6.0,12.059754639701307,148.0,140.02114960241812,34.0,28.533924867949864,6.0,7.279274907779914,0.0,1.8867805819724663,15.0,11.0
Pete Crow-Armstrong,2025.0,284.0,274.0609467035282,29.0,38.75716989089021,591.0,583.0228755691168,146.0,158.0958282018842,35.0,22.985520014168397,8.0,5.267511504948774,82.0,90.0
Brenton Doyle,2025.0,189.0,220.76136041207945,30.0,38.86189152782597,502.0,471.34139939455065,117.0,125.71902093791633,18.0,16.068438575990836,2.0,3.886227741562511,55.0,74.0
,,,,,,,,,,,,,,,
Edmundo Sosa,2025.0,114.0,92.17007314336499,10.0,0.0,243.0,267.76194936215757,67.0,70.91352815922005,1.0,8.415546915749866,1.0,2.1423290948984994,34.0,24.0
Michael Helman,2025.0,45.0,58.490000873348095,7.0,0.0,99.0,131.18393556444602,23.0,12.218325446849974,4.0,5.918963224848045,0.0,1.5766155537880635,14.0,6.0
Otto Kemp,2025.0,81.0,82.23914266201893,12.0,15.049866994123676,197.0,192.03998721401905,46.0,42.513873185319014,2.0,6.823771669103336,2.0,1.8479754115774363,22.0,22.0
Jonatan Clase,2025.0,30.0,35.84412069189044,10.0,14.17175337601466,100.0,92.67185264984647,21.0,8.182102875719792,3.0,6.2024693998277804,1.0,1.6376011956854843,9.0,8.0
Myles Straw,2025.0,98.0,101.07930753523038,19.0,14.122257156947725,267.0,273.78666253059396,70.0,78.64347394221534,12.0,11.316886199886417,1.0,2.777790259433349,33.0,35.0
,,,,,,,,,,,,,,,
Cam Smith,2025.0,158.0,173.78531181901414,43.0,39.43820687009675,441.0,463.4245821841425,104.0,114.98244450974858,8.0,16.03898873548654,1.0,4.111453241937965,49.0,55.0
David Hamilton,2025.0,59.0,68.34327277640392,13.0,15.470112611248222,177.0,171.06983619096013,35.0,44.74343396161508,22.0,9.06803808266276,6.0,2.252291196671211,16.0,24.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jacob Young,2025.0,93.0,116.53729218389033,27.0,29.337491695958093,324.0,319.91004277426987,75.0,84.11860691352065,15.0,11.811857497234325,11.0,2.9311972765111047,26.0,36.0
Lane Thomas,2025.0,34.0,38.65108821481715,14.0,13.326715646555908,125.0,118.44270594539762,20.0,6.871175417799577,4.0,5.763312827591593,1.0,1.5916953871852302,9.0,6.0
Will Benson,2025.0,100.0,115.78514972472861,16.0,21.677133676534613,230.0,217.08351836368243,52.0,51.37889056005507,2.0,6.957892314231156,2.0,1.8470653474225933,27.0,35.0
,,,,,,,,,,,,,,,
Tyrone Taylor,2025.0,99.0,107.88314052058334,16.0,13.92146319666075,310.0,308.1534283318444,69.0,76.36237401123613,12.0,8.85791374387061,2.0,2.3755884760483026,27.0,32.0
,,,,,,,,,,,,,,,
Oswald Peraza,2025.0,61.0,82.37606983289403,17.0,14.089380094843921,244.0,245.98772507002786,40.0,48.41234217393282,9.0,7.900832251367187,0.0,2.1095157200772405,15.0,21.0
Matt McLain,2025.0,175.0,203.9784723679228,55.0,52.16729737681334,510.0,515.5909150339812,112.0,121.71505008121574,18.0,21.59686795311018,2.0,5.4031527509206505,55.0,65.0
Jackson Chourio,2025.0,254.0,244.7818199753376,30.0,31.892635006972572,549.0,534.8997709213085,148.0,149.15334262112722,21.0,18.816582124270603,7.0,4.334285382626375,78.0,79.0
Oneil Cruz,2025.0,178.0,238.66733095856304,64.0,59.666120534685575,471.0,473.95182943904723,94.0,121.14626293430936,38.0,19.339777925463423,5.0,4.658385504868713,58.0,87.0
