Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team
Travis d'Arnaud,26.4,421,24,0,0,LA-ANGELS
Mike Trout,28.0,179,68,2,0,LA-ANGELS
Kevin Newman,26.9,349,37,1,0,LA-ANGELS
Chris Taylor,27.6,239,57,1,0,LA-ANGELS
Taylor Ward,27.4,282,49,2,1,LA-ANGELS
Jorge Soler,26.0,451,19,0,0,LA-ANGELS
Luis Rengifo,27.0,328,41,2,6,LA-ANGELS
Yoán Moncada,26.5,406,27,0,0,LA-ANGELS
Scott Kingery,28.1,160,71,1,1,LA-ANGELS
LaMonte Wade Jr.,26.0,454,18,1,0,LA-ANGELS
Jo Adell,27.8,212,62,3,0,LA-ANGELS
Gustavo Campero,29.0,57,90,1,0,LA-ANGELS
Chad Stevens,28.5,99,82,0,1,LA-ANGELS
Kyren Paris,29.0,55,90,7,1,LA-ANGELS
Logan O'Hoppe,27.2,310,44,2,1,LA-ANGELS
Matthew Lugo,29.2,41,93,0,0,LA-ANGELS
Zach Neto,28.1,161,71,18,8,LA-ANGELS
Nolan Schanuel,26.0,455,18,4,1,LA-ANGELS
Christian Moore,27.8,202,64,0,0,LA-ANGELS
James McCann,26.3,425,24,0,0,ARIZONA
Ildemaro Vargas,27.8,206,63,0,0,ARIZONA
Randal Grichuk,26.9,352,37,0,1,ARIZONA
Eugenio Suárez,26.4,417,25,1,0,ARIZONA
Ketel Marte,26.5,408,27,2,1,ARIZONA
Jose Herrera,24.7,535,4,0,0,ARIZONA
Pavin Smith,26.3,427,23,2,2,ARIZONA
Jake McCarthy,29.5,22,96,3,0,ARIZONA
Lourdes Gurriel Jr.,27.0,330,41,7,2,ARIZONA
Gabriel Moreno,26.9,342,39,1,1,ARIZONA
Geraldo Perdomo,27.0,323,42,15,3,ARIZONA
Blaze Alexander,28.7,86,85,2,0,ARIZONA
Alek Thomas,28.2,155,72,5,2,ARIZONA
Jorge Barrosa,28.1,166,70,0,0,ARIZONA
Adrian Del Castillo,25.1,519,7,0,0,ARIZONA
Corbin Carroll,29.8,14,98,13,4,ARIZONA
Jordan Lawlar,29.9,8,99,0,0,ARIZONA
Tim Tawa,28.3,136,76,7,2,ARIZONA
Marcell Ozuna,25.1,517,7,0,0,ATLANTA
Jurickson Profar,25.6,488,12,1,0,ATLANTA
Matt Olson,25.3,510,8,0,0,ATLANTA
Eli White,29.9,9,99,7,1,ATLANTA
Ozzie Albies,27.2,297,47,8,1,ATLANTA
Ronald Acuña Jr.,28.0,176,69,4,0,ATLANTA
Austin Riley,28.3,130,77,2,1,ATLANTA
Luke Williams,28.2,150,73,3,0,ATLANTA
Sean Murphy,24.7,533,4,0,0,ATLANTA
Nick Allen,27.3,289,48,6,5,ATLANTA
Michael Harris II,28.4,109,81,12,3,ATLANTA
Jarred Kelenic,26.1,444,20,0,1,ATLANTA
Drake Baldwin,26.1,446,20,0,0,ATLANTA
Nacho Alvarez Jr.,26.1,440,21,0,0,ATLANTA
Gary Sánchez,24.6,537,3,0,0,BALTIMORE
Ramón Urías,26.9,338,39,2,0,BALTIMORE
Jacob Stallings,23.5,551,1,0,0,BALTIMORE
Jorge Mateo,29.3,31,95,14,1,BALTIMORE
Tyler O'Neill,28.4,120,79,2,0,BALTIMORE
Alex Jackson,27.4,273,51,0,0,BALTIMORE
Cedric Mullins,28.4,112,80,14,4,BALTIMORE
Ryan O'Hearn,27.6,245,56,3,1,BALTIMORE
Ramón Laureano,27.7,230,59,4,2,BALTIMORE
Ryan Mountcastle,27.8,215,61,1,0,BALTIMORE
Dylan Carlson,27.6,241,57,2,2,BALTIMORE
Adley Rutschman,26.8,367,34,0,0,BALTIMORE
Maverick Handley,27.1,315,43,0,0,BALTIMORE
Jordan Westburg,29.1,51,91,1,2,BALTIMORE
Luis Vázquez,26.9,335,40,0,0,BALTIMORE
Heston Kjerstad,27.7,217,61,1,0,BALTIMORE
Colton Cowser,27.2,302,46,5,0,BALTIMORE
Gunnar Henderson,28.3,132,76,13,3,BALTIMORE
Coby Mayo,28.3,133,76,1,0,BALTIMORE
Jackson Holliday,28.6,92,84,9,8,BALTIMORE
Trevor Story,28.5,102,82,17,0,BOSTON
Alex Bregman,26.2,433,22,1,1,BOSTON
Rob Refsnyder,26.5,415,25,3,0,BOSTON
Abraham Toro,27.7,219,61,1,0,BOSTON
Connor Wong,27.9,193,65,1,1,BOSTON
Carlos Narváez,25.8,477,14,1,1,BOSTON
David Hamilton,29.3,32,94,15,3,BOSTON
Triston Casas,24.4,543,2,0,0,BOSTON
Wilyer Abreu,27.5,252,55,5,3,BOSTON
Ceddanne Rafaela,29.0,54,91,14,3,BOSTON
