Player,Season_x,Pitches_x,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,TeamID,Season_y,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Barrel %_x,Pitches_y,Batted Balls,Barrels,Barrel %_y,Hard Hit %,Exit Velocity,XBA,XSLG
"Hoskins, Rhys",2024,2243,51.4,59.3,78.8,25.4,61.0,43.4,19.4,42.8,26.3,7.9,71.2,158,2024,306,33.3,36.6,19.6,10.5,52.6,28.1,19.3,3.9,23.9,33.0,20.3,6.2,29.7,12.7,2243,306,39,12.7,42.2,88.7,0.202,0.387
"Hicklen, Brewer",2024,29,48.3,71.4,50.0,40.0,66.7,48.3,60.0,55.2,43.8,6.9,100.0,158,2024,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,29,1,0,0.0,0.0,82.5,0.055,0.066
"Capra, Vinny",2024,32,68.8,68.2,66.7,30.0,33.3,43.8,33.3,56.3,33.3,9.4,66.7,158,2024,6,50.0,16.7,16.7,16.7,16.7,66.7,16.7,16.7,50.0,33.3,0.0,0.0,16.7,0.0,32,6,0,0.0,0.0,77.6,0.053,0.074
"Haase, Eric",2024,270,54.1,65.1,72.6,29.8,29.7,41.5,26.1,48.9,39.4,7.0,94.7,158,2024,38,47.4,26.3,23.7,2.6,42.1,42.1,15.8,7.9,26.3,23.7,23.7,5.3,39.5,13.2,270,38,5,13.2,39.5,90.0,0.226,0.465
"Chourio, Jackson",2024,2103,49.6,66.1,82.6,31.9,53.0,41.2,33.7,48.8,27.1,7.8,77.4,158,2024,410,48.0,24.4,23.9,3.7,33.2,42.7,24.1,5.6,36.6,19.3,23.9,6.6,33.2,7.8,2103,410,32,7.8,44.9,89.7,0.274,0.43
"Turang, Brice",2024,2470,53.5,64.4,88.4,28.4,72.5,42.7,29.4,47.7,13.8,8.9,75.9,158,2024,462,53.7,17.7,24.5,4.1,24.0,41.8,34.2,7.4,38.3,20.8,28.4,2.6,32.0,2.4,2470,462,11,2.4,29.7,87.0,0.261,0.34
"Collins, Isaac",2024,87,56.3,61.2,66.7,13.2,20.0,46.0,15.8,40.2,40.0,8.0,71.4,158,2024,7,28.6,28.6,28.6,14.3,14.3,57.1,28.6,0.0,28.6,42.9,28.6,0.0,42.9,0.0,87,7,0,0.0,28.6,87.2,0.098,0.124
"Yelich, Christian",2024,1268,46.4,69.9,84.7,24.9,57.4,42.3,24.5,45.7,23.1,6.5,80.7,158,2024,214,54.2,19.2,23.4,3.3,39.3,34.6,26.2,5.1,35.0,15.4,27.1,8.9,32.2,7.9,1268,214,17,7.9,46.7,91.1,0.294,0.471
"Ortiz, Joey",2024,2124,50.8,53.5,89.8,24.7,66.7,44.8,18.0,39.4,17.1,7.9,56.3,158,2024,346,49.4,20.5,20.8,9.2,38.2,30.6,31.2,5.2,35.5,24.9,24.0,5.2,26.6,4.6,2124,346,16,4.6,38.4,87.8,0.234,0.343
"Bauers, Jake",2024,1512,53.3,68.7,79.2,19.7,36.7,44.8,37.9,45.8,29.1,7.8,83.1,158,2024,184,28.3,35.3,25.5,10.9,48.4,31.0,20.7,6.0,16.3,32.6,25.5,9.2,38.6,10.3,1512,184,19,10.3,42.9,89.4,0.201,0.379
