Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team,Season
Mike Trout,29.2,31,96,2,0,LA-ANGELS,2021
Taylor Ward,28.2,149,78,2,1,LA-ANGELS,2021
Luis Rengifo,28.1,158,77,2,6,LA-ANGELS,2021
Jo Adell,29.9,11,99,3,0,LA-ANGELS,2021
Ildemaro Vargas,27.0,343,50,0,0,ARIZONA,2021
Ketel Marte,26.8,370,46,2,1,ARIZONA,2021
Pavin Smith,26.5,407,41,2,2,ARIZONA,2021
Jake McCarthy,30.4,4,100,3,0,ARIZONA,2021
Geraldo Perdomo,27.3,291,58,13,3,ARIZONA,2021
Eddie Rosario,27.4,282,59,0,0,ATLANTA,2021
Orlando Arcia,26.8,384,44,0,0,ATLANTA,2021
Ronald Acuña Jr.,29.4,21,97,4,0,ATLANTA,2021
Austin Riley,27.8,212,69,2,1,ATLANTA,2021
Ramón Urías,27.0,351,49,2,0,BALTIMORE,2021
Jorge Mateo,30.3,6,99,14,1,BALTIMORE,2021
Cedric Mullins,28.5,95,86,13,3,BALTIMORE,2021
Ryan Mountcastle,28.0,176,74,1,0,BALTIMORE,2021
Rafael Devers,27.1,318,54,1,1,BOSTON,2021
Jarren Duran,29.3,25,97,16,5,BOSTON,2021
Nico Hoerner,28.8,70,90,16,3,CHI-CUBS,2021
Ian Happ,27.7,226,67,4,1,CHI-CUBS,2021
Tyler Stephenson,26.8,369,46,0,1,CINCINNATI,2021
TJ Friedl,27.4,265,61,10,3,CINCINNATI,2021
Austin Hedges,24.5,603,12,1,0,CLEVELAND,2021
José Ramírez,28.1,160,77,29,5,CLEVELAND,2021
Jake Rogers,27.3,295,57,0,0,DETROIT,2021
Akil Baddoo,28.8,62,91,1,0,DETROIT,2021
Jose Altuve,28.0,183,73,6,6,HOUSTON,2021
Yordan Alvarez,26.4,421,39,1,0,HOUSTON,2021
Jake Meyers,29.2,35,95,14,5,HOUSTON,2021
Chas McCormick,28.7,74,89,1,3,HOUSTON,2021
Salvador Perez,26.1,477,30,0,0,KANSAS-CITY,2021
Kyle Isbel,28.3,132,81,2,1,KANSAS-CITY,2021
Max Muncy,26.7,396,42,4,0,LA-DODGERS,2021
Austin Barnes,26.9,359,48,0,0,LA-DODGERS,2021
Mookie Betts,27.2,304,56,6,0,LA-DODGERS,2021
Chris Taylor,28.8,60,91,0,1,LA-DODGERS,2021
Will Smith,27.7,218,68,2,3,LA-DODGERS,2021
Josh Bell,26.2,450,34,0,1,WASHINGTON,2021
Riley Adams,26.3,443,35,0,0,WASHINGTON,2021
Keibert Ruiz,25.6,523,24,0,2,WASHINGTON,2021
Luis García Jr.,27.0,329,52,8,4,WASHINGTON,2021
Seth Brown,28.1,161,77,1,0,OAKLAND,2021
Ke'Bryan Hayes,27.8,209,70,10,2,PITTSBURGH,2021
Bryan Reynolds,28.6,82,88,3,2,PITTSBURGH,2021
Manny Machado,26.5,417,39,8,2,SAN-DIEGO,2021
Jake Cronenworth,28.5,94,86,2,1,SAN-DIEGO,2021
Fernando Tatis Jr.,29.2,29,96,21,3,SAN-DIEGO,2021
Luis Campusano,25.8,501,27,0,0,SAN-DIEGO,2021
J.P. Crawford,27.5,257,63,5,1,SEATTLE,2021
Cal Raleigh,27.0,350,49,10,2,SEATTLE,2021
Dylan Moore,28.4,119,83,9,4,SEATTLE,2021
Wilmer Flores,24.6,598,13,1,0,SAN-FRANCISCO,2021
Mike Yastrzemski,27.4,281,59,6,2,SAN-FRANCISCO,2021
LaMonte Wade Jr.,26.5,415,39,0,0,SAN-FRANCISCO,2021
Nolan Arenado,25.5,534,22,1,0,ST-LOUIS,2021
Lars Nootbaar,28.4,116,83,4,4,ST-LOUIS,2021
Jonah Heim,26.0,487,29,3,0,TEXAS,2021
Leody Taveras,29.7,13,98,6,1,TEXAS,2021
Adolis García,28.4,115,83,9,3,TEXAS,2021
George Springer,28.4,120,83,11,0,TORONTO,2021
Vladimir Guerrero Jr.,27.0,344,50,5,2,TORONTO,2021
