Player,AB,H,2B,3B,HR,BB,,TB,Runs
"López, Jack",67,17,3,0,1,2,,23,6.0
"Ward, Taylor",585,144,26,2,25,63,,249,80.0
"Trout, Mike",109,24,1,2,10,16,,59,19.0
"Adell, Jo",405,84,15,2,20,35,,163,44.0
"Leblanc, Charles",21,4,0,0,2,7,,10,4.0
"Kavadas, Niko",93,17,2,0,4,11,,31,8.0
"Rengifo, Luis",283,85,13,1,6,16,,118,40.0
"Schanuel, Nolan",519,130,19,0,13,68,,188,63.0
"Neto, Zach",542,135,34,1,23,39,,240,72.0
"Drury, Brandon",325,55,7,0,4,27,,74,17.0
"Thaiss, Matt",157,32,9,0,2,28,,47,15.0
"O'Hoppe, Logan",479,117,17,1,20,33,,196,57.0
"Adams, Jordyn",35,8,0,0,1,3,,11,3.0
"Paris, Kyren",51,6,2,0,1,7,,11,2.0
"Stefanic, Michael",110,24,4,0,0,10,,28,8.0
"Moniak, Mickey",392,86,17,2,14,21,,149,39.0
"Pillar, Kevin",284,65,16,1,8,16,,107,29.0
"Rendon, Anthony",206,45,10,0,0,23,,55,16.0
"Wagaman, Eric",72,18,5,0,2,2,,29,8.0
"Campero, Gustavo",46,11,0,1,1,0,,16,4.0
"Teodosio, Bryce",12,1,0,0,0,0,,1,0.0
"McCarthy, Jake",442,126,13,7,8,31,,177,59.0
"Perdomo, Geraldo",337,92,21,2,3,36,,126,43.0
"Suárez, Eugenio",571,146,28,2,30,49,,268,84.0
"Grichuk, Randal",254,74,20,2,12,20,,134,46.0
"Del Castillo, Adrian",80,25,5,0,4,7,,42,15.0
"Barrosa, Jorge",17,3,2,0,0,0,,5,1.0
"Carroll, Corbin",589,136,22,14,22,73,,252,80.0
"Bell, Josh",538,134,23,2,19,51,,218,68.0
"Thomas, Alek",95,18,5,1,3,7,,34,8.0
"Marte, Ketel",504,147,23,2,36,65,,282,105.0
"Herrera, Jose",97,22,4,1,1,9,,31,9.0
"Moreno, Gabriel",305,81,18,1,5,41,,116,41.0
"Gurriel Jr., Lourdes",513,143,22,2,18,29,,223,71.0
"Smith, Pavin",137,37,11,0,9,18,,75,27.0
"Alexander, Blaze",166,41,7,0,3,15,,57,18.0
"Newman, Kevin",288,80,17,1,3,15,,108,34.0
"Walker, Christian",479,120,26,0,26,55,,224,73.0
"Pederson, Joc",367,101,17,1,23,55,,189,70.0
"Kjerstad, Heston",99,25,2,0,4,10,,39,13.0
"Slater, Austin",177,37,4,0,2,26,,47,15.0
"Urías, Ramón",272,69,9,2,11,23,,115,36.0
"Mullins, Cedric",444,104,16,3,18,41,,180,54.0
"McCann, James",214,50,9,0,8,13,,83,23.0
"Holliday, Jackson",190,36,4,2,5,15,,59,15.0
"Mateo, Jorge",192,44,14,2,5,10,,77,21.0
"Johnson, Daniel",1,0,0,0,0,0,,0,0.0
"Rivera, Emmanuel",265,63,9,2,5,26,,91,28.0
"Rutschman, Adley",571,143,21,1,19,58,,223,71.0
"Mountcastle, Ryan",473,128,30,2,13,27,,201,62.0
"Mayo, Coby",41,4,0,0,0,4,,4,1.0
"Cowser, Colton",499,121,24,3,24,52,,223,70.0
"Soto, Livan",13,3,1,0,0,3,,4,2.0
"Westburg, Jordan",416,110,26,5,18,22,,200,60.0
"O'Hearn, Ryan",443,117,21,3,15,46,,189,63.0
"Santander, Anthony",595,140,25,2,44,58,,301,91.0
"Henderson, Gunnar",630,177,31,7,37,78,,333,120.0
"Jiménez, Eloy",324,77,14,0,6,22,,109,31.0
"Devers, Rafael",525,143,34,5,28,67,,271,96.0
"O'Neill, Tyler",411,99,18,0,31,53,,210,69.0
"Abreu, Wilyer",399,101,33,2,15,40,,183,59.0
"Casas, Triston",212,51,8,0,13,30,,98,33.0
"Valdez, Enmanuel",201,43,12,0,6,17,,73,20.0
"Story, Trevor",94,24,7,0,2,11,,37,12.0
"Refsnyder, Rob",272,77,16,1,11,28,,128,45.0
"Jansen, Danny",278,57,13,0,9,40,,97,30.0
"Yoshida, Masataka",378,106,21,0,10,27,,157,52.0
"Wong, Connor",447,125,24,1,13,28,,190,61.0
"Sogard, Nick",77,21,4,0,0,7,,25,8.0
"Rafaela, Ceddanne",544,134,23,5,15,15,,212,57.0
"Hamilton, David",294,73,17,1,8,22,,116,35.0
"Duran, Jarren",671,191,48,14,21,54,,330,112.0
"Grissom, Vaughn",105,20,3,0,0,7,,23,6.0
"Gasper, Mickey",18,0,0,0,0,4,,0,0.0
"Gonzalez, Romy",199,53,10,1,6,12,,83,26.0
"Alcántara, Kevin",10,1,0,0,0,0,,1,0.0
"Crow-Armstrong, Pete",372,88,13,6,10,21,,143,40.0
"Wisdom, Patrick",158,27,7,2,8,10,,62,14.0
"Happ, Ian",569,138,34,2,25,80,,251,84.0
"Tauchman, Mike",298,74,12,1,7,47,,109,38.0
"Madrigal, Nick",86,19,3,0,0,4,,22,6.0
"Amaya, Miguel",328,76,13,2,8,23,,117,33.0
"Mervis, Matt",26,3,1,0,0,1,,4,1.0
"Busch, Michael",496,123,28,2,21,63,,218,73.0
"Mastrobuoni, Miles",98,19,3,0,0,7,,22,5.0
"Vázquez, Luis",12,1,0,0,0,0,,1,0.0
"Suzuki, Seiya",512,145,27,6,21,63,,247,89.0
"Swanson, Dansby",534,129,27,2,16,54,,208,65.0
"Paredes, Isaac",542,129,25,1,19,76,,213,71.0
"Canario, Alexander",25,7,1,0,1,2,,11,4.0
"Hoerner, Nico",582,159,35,1,7,44,,217,70.0
"Bethancourt, Christian",139,29,7,0,5,5,,51,12.0
"Bellinger, Cody",516,137,23,3,18,45,,220,71.0
"Dunn, Blake",26,4,1,0,1,2,,8,2.0
"Rosario, Amed",332,93,18,3,3,9,,126,38.0
"Espinal, Santiago",357,88,12,0,9,24,,127,37.0
"Martini, Nick",146,31,4,2,5,9,,54,14.0
"Wiemer, Joey",26,4,0,0,0,2,,4,1.0
"Maile, Luke",135,24,4,0,2,13,,34,8.0
"India, Jonathan",533,132,28,2,15,80,,209,72.0
"Hinds, Rece",46,12,4,1,5,4,,33,11.0
"Stephenson, Tyler",457,118,26,1,19,48,,203,67.0
"Fraley, Jake",350,97,19,2,5,26,,135,44.0
"De La Cruz, Elly",618,160,36,10,25,69,,291,97.0
"Wynns, Austin",19,7,4,0,0,0,,11,4.0
"Benson, Will",343,64,19,2,14,40,,129,35.0
"Steer, Spencer",574,129,34,4,20,72,,231,72.0
"Fairchild, Stuart",209,45,8,0,8,17,,77,21.0
"Encarnacion-Strand, Christian",116,22,6,0,2,4,,34,7.0
"Marte, Noelvi",229,48,9,0,4,9,,69,17.0
"Candelario, Jeimer",427,96,23,2,20,27,,183,50.0
"Hurtubise, Jacob",54,10,1,1,0,6,,13,3.0
"France, Ty",479,112,24,0,13,38,,175,51.0
"Friedl, TJ",297,67,5,1,13,26,,113,33.0
"Hedges, Austin",132,20,3,0,2,6,,29,5.0
"Ramírez, José",620,173,39,2,39,54,,333,112.0
"Naylor, Josh",563,137,27,0,31,58,,257,81.0
"Schneemann, Daniel",193,42,10,2,5,25,,71,22.0
"Arias, Gabriel",153,34,9,1,3,6,,54,14.0
"Naylor, Bo",354,71,10,2,13,29,,124,32.0
"Brennan, Will",330,87,13,2,8,19,,128,39.0
"Straw, Myles",4,1,0,0,0,0,,1,0.0
"Thomas, Lane",472,112,26,3,15,44,,189,57.0
"Noel, Jhonkensy",179,39,7,1,13,13,,87,24.0
"Kwan, Steven",480,140,16,3,14,53,,204,74.0
"Fry, David",335,88,18,1,14,42,,150,52.0
"Manzardo, Kyle",145,34,12,0,5,9,,61,17.0
"Rocchio, Brayan",383,79,18,0,8,44,,121,35.0
"Giménez, Andrés",583,147,22,1,9,26,,198,56.0
"Martínez, Angel",151,35,7,0,3,15,,51,15.0
"Rodríguez, Johnathan",31,4,1,0,0,9,,5,2.0
"Freeman, Tyler",330,69,14,1,7,28,,106,29.0
"Schunk, Aaron",94,22,3,0,2,4,,31,8.0
"Doyle, Brenton",542,141,24,4,23,46,,242,77.0
"Toglia, Michael",399,87,14,3,25,54,,182,57.0
"McMahon, Ryan",567,137,28,0,20,69,,225,73.0
"Rodgers, Brendan",501,134,29,1,13,31,,204,63.0
"Stallings, Jacob",243,64,17,1,9,27,,110,37.0
"Jones, Greg",5,1,0,0,1,1,,4,1.0
"Jones, Nolan",256,58,13,1,3,36,,82,26.0
"Tovar, Ezequiel",655,176,45,4,26,23,,307,90.0
"Hilliard, Sam",138,33,5,1,10,14,,70,22.0
"Goodman, Hunter",211,40,9,0,13,8,,88,19.0
"Bryant, Kris",133,29,5,0,2,13,,40,12.0
"Beck, Jordan",170,32,6,0,3,12,,47,11.0
"Bouchard, Sean",91,17,7,0,1,12,,27,8.0
"Romo, Drew",51,9,3,0,0,2,,12,2.0
"Amador, Adael",35,6,1,0,0,1,,7,1.0
"Cave, Jake",323,81,16,5,7,18,,128,37.0
"Ibáñez, Andy",224,54,9,1,5,15,,80,23.0
"Greene, Riley",512,134,27,6,24,64,,245,84.0
"Kreidler, Ryan",59,7,0,0,1,6,,10,2.0
"Meadows, Parker",270,66,12,6,9,25,,117,36.0
"Jung, Jace",79,19,5,0,0,15,,24,9.0
"Rogers, Jake",310,61,16,1,10,22,,109,27.0
"Madris, Bligh",67,18,3,0,1,6,,24,8.0
"Sweeney, Trey",110,24,5,0,4,7,,41,11.0
"Baddoo, Akil",73,10,2,2,2,8,,22,5.0
"Vierling, Matt",518,133,28,5,16,41,,219,68.0
"McKinstry, Zach",297,64,14,5,4,24,,100,27.0
"Dingler, Dillon",84,14,5,2,1,3,,26,5.0
"Carpenter, Kerry",264,75,16,5,18,22,,155,53.0
"Keith, Colt",516,134,15,4,13,36,,196,60.0
"Torkelson, Spencer",342,75,21,1,10,33,,128,37.0
"Báez, Javier",272,50,12,0,6,12,,80,17.0
"Malloy, Justyn-Henry",202,41,7,1,8,23,,74,21.0
"Pérez, Wenceel",389,94,16,6,9,32,,149,45.0
"Vilade, Ryan",45,8,0,0,1,2,,11,2.0
