Player,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,,Hit_Score,Walk_Score,Bats_Score,Bases_Score
"López, Jack",54.7,69.3,76.9,42.7,37.7,40.9,23.9,57.3,33.8,7.3,90.0,43,53.5,11.6,27.9,7.0,41.9,32.6,25.6,4.7,41.9,23.3,23.3,2.3,32.6,274,43,1,2.3,32.6,87.3,10.0,0.178,0.236,0.201,0.288,,-0.479,-0.225,-0.225,-1.568
"Ward, Taylor",51.0,64.8,82.3,20.8,49.1,42.2,29.9,43.2,25.5,7.9,78.4,430,32.3,36.3,27.7,3.7,32.3,36.3,31.4,1.2,26.0,30.5,22.3,6.7,41.9,2599,430,56,13.0,42.4,90.9,17.4,0.251,0.458,0.344,0.419,,1.777,-0.21,-0.209,3.445
"Trout, Mike",53.1,63.6,84.5,18.6,60.0,43.2,16.8,42.5,20.5,7.8,77.8,82,24.4,39.0,23.2,13.4,39.0,25.6,35.4,4.9,15.9,36.6,19.5,6.1,40.2,574,82,14,17.1,41.5,89.2,25.2,0.271,0.591,0.405,0.483,,0.854,-0.223,-0.223,4.652
"Adell, Jo",47.9,71.5,78.9,29.7,50.9,42.1,38.2,49.7,29.8,7.5,87.0,282,35.5,31.6,23.8,9.2,41.1,34.0,24.8,5.0,27.3,30.1,17.4,7.4,30.5,1840,282,33,11.7,44.7,89.8,15.9,0.224,0.418,0.312,0.397,,1.942,-0.216,-0.215,3.375
"Leblanc, Charles",49.6,57.6,82.4,18.3,36.4,37.0,35.7,38.1,28.9,8.4,80.0,12,16.7,41.7,33.3,8.3,50.0,16.7,33.3,16.7,8.3,33.3,16.7,8.3,41.7,118,12,2,16.7,33.3,85.3,20.2,0.21,0.454,0.382,0.489,,-2.795,-0.226,-0.226,1.218
"Kavadas, Niko",51.4,59.4,74.6,17.7,35.0,42.2,21.7,39.1,34.1,7.3,76.5,52,17.3,50.0,25.0,7.7,36.5,32.7,30.8,1.9,9.6,46.2,23.1,7.7,42.3,465,52,6,11.5,40.4,91.7,27.3,0.185,0.371,0.292,0.421,,-0.149,-0.225,-0.224,2.894
"Rengifo, Luis",46.6,80.0,85.4,35.6,61.2,42.8,47.0,56.3,22.3,7.2,87.2,240,55.4,17.1,23.3,4.2,35.8,40.4,23.8,2.1,41.7,20.0,28.7,5.0,30.4,1084,240,6,2.5,32.5,87.0,6.7,0.262,0.352,0.295,0.316,,1.255,-0.217,-0.218,-1.407
"Schanuel, Nolan",50.0,62.1,89.5,21.5,71.9,42.5,31.1,41.8,14.4,7.9,72.4,426,46.2,22.5,27.7,3.5,39.2,37.8,23.0,3.8,33.3,24.2,30.8,4.0,36.4,2356,426,15,3.5,25.4,86.1,10.3,0.254,0.355,0.318,0.327,,-2.007,-0.21,-0.21,-3.398
"Neto, Zach",48.1,67.9,81.7,31.3,53.4,41.5,32.2,48.9,27.1,7.0,76.3,407,45.2,29.2,18.7,6.9,46.2,33.9,19.9,7.1,29.7,24.8,21.1,8.4,29.0,2289,407,34,8.4,38.8,88.5,12.3,0.236,0.414,0.317,0.376,,1.088,-0.211,-0.211,1.484
"Drury, Brandon",50.8,66.2,81.7,26.5,59.9,43.5,38.1,46.7,24.4,7.5,79.0,247,56.7,18.6,19.0,5.7,33.2,44.9,21.9,4.0,45.3,20.6,19.8,6.1,25.9,1397,247,9,3.6,35.6,87.6,6.0,0.202,0.287,0.259,0.288,,-0.528,-0.217,-0.217,-1.69
