Player,AB,H,2B,3B,HR,BB,,TB,Runs
Jack López,67,17,3,0,1,2,,23,6.0
Taylor Ward,585,144,26,2,25,63,,249,80.0
Mike Trout,109,24,1,2,10,16,,59,19.0
Jo Adell,405,84,15,2,20,35,,163,44.0
Charles Leblanc,21,4,0,0,2,7,,10,4.0
Niko Kavadas,93,17,2,0,4,11,,31,8.0
Luis Rengifo,283,85,13,1,6,16,,118,40.0
Nolan Schanuel,519,130,19,0,13,68,,188,63.0
Zach Neto,542,135,34,1,23,39,,240,72.0
Brandon Drury,325,55,7,0,4,27,,74,17.0
Matt Thaiss,157,32,9,0,2,28,,47,15.0
Logan O'Hoppe,479,117,17,1,20,33,,196,57.0
Jordyn Adams,35,8,0,0,1,3,,11,3.0
Kyren Paris,51,6,2,0,1,7,,11,2.0
Michael Stefanic,110,24,4,0,0,10,,28,8.0
Mickey Moniak,392,86,17,2,14,21,,149,39.0
Kevin Pillar,284,65,16,1,8,16,,107,29.0
Anthony Rendon,206,45,10,0,0,23,,55,16.0
Eric Wagaman,72,18,5,0,2,2,,29,8.0
Gustavo Campero,46,11,0,1,1,0,,16,4.0
Bryce Teodosio,12,1,0,0,0,0,,1,0.0
Jake McCarthy,442,126,13,7,8,31,,177,59.0
Geraldo Perdomo,337,92,21,2,3,36,,126,43.0
Eugenio Suárez,571,146,28,2,30,49,,268,84.0
Randal Grichuk,254,74,20,2,12,20,,134,46.0
Adrian Del Castillo,80,25,5,0,4,7,,42,15.0
Jorge Barrosa,17,3,2,0,0,0,,5,1.0
Corbin Carroll,589,136,22,14,22,73,,252,80.0
Josh Bell,538,134,23,2,19,51,,218,68.0
Alek Thomas,95,18,5,1,3,7,,34,8.0
Ketel Marte,504,147,23,2,36,65,,282,105.0
Jose Herrera,97,22,4,1,1,9,,31,9.0
Gabriel Moreno,305,81,18,1,5,41,,116,41.0
Lourdes Gurriel Jr.,513,143,22,2,18,29,,223,71.0
Pavin Smith,137,37,11,0,9,18,,75,27.0
Blaze Alexander,166,41,7,0,3,15,,57,18.0
Kevin Newman,288,80,17,1,3,15,,108,34.0
Christian Walker,479,120,26,0,26,55,,224,73.0
Joc Pederson,367,101,17,1,23,55,,189,70.0
Heston Kjerstad,99,25,2,0,4,10,,39,13.0
Austin Slater,177,37,4,0,2,26,,47,15.0
Ramón Urías,272,69,9,2,11,23,,115,36.0
Cedric Mullins,444,104,16,3,18,41,,180,54.0
James McCann,214,50,9,0,8,13,,83,23.0
Jackson Holliday,190,36,4,2,5,15,,59,15.0
Jorge Mateo,192,44,14,2,5,10,,77,21.0
Daniel Johnson,1,0,0,0,0,0,,0,0.0
Emmanuel Rivera,265,63,9,2,5,26,,91,28.0
Adley Rutschman,571,143,21,1,19,58,,223,71.0
Ryan Mountcastle,473,128,30,2,13,27,,201,62.0
Coby Mayo,41,4,0,0,0,4,,4,1.0
Colton Cowser,499,121,24,3,24,52,,223,70.0
Livan Soto,13,3,1,0,0,3,,4,2.0
Jordan Westburg,416,110,26,5,18,22,,200,60.0
Ryan O'Hearn,443,117,21,3,15,46,,189,63.0
Anthony Santander,595,140,25,2,44,58,,301,91.0
Gunnar Henderson,630,177,31,7,37,78,,333,120.0
Eloy Jiménez,324,77,14,0,6,22,,109,31.0
Rafael Devers,525,143,34,5,28,67,,271,96.0
Tyler O'Neill,411,99,18,0,31,53,,210,69.0
