Player,AB,H,2B,3B,HR,BB,,TB,Runs,Season
Jared Walsh,99,29,4,2,9,5,,64,21.0,2020
Mike Trout,199,56,9,2,17,35,,120,47.0,2020
Luis Rengifo,90,14,1,0,1,14,,18,5.0,2020
José Briceño,5,1,0,0,0,1,,1,0.0,2020
Jahmai Jones,7,3,0,0,0,0,,3,1.0,2020
Matt Thaiss,21,3,0,0,1,4,,6,2.0,2020
Elliot Soto,6,2,1,0,0,1,,3,1.0,2020
Albert Pujols,152,34,8,0,6,9,,60,16.0,2020
Max Stassi,90,25,2,0,7,11,,48,17.0,2020
Franklin Barreto,27,2,0,0,0,0,,2,0.0,2020
Anthony Bemboom,48,10,1,0,3,7,,20,6.0,2020
Taylor Ward,94,26,6,2,0,8,,36,12.0,2020
Jo Adell,124,20,4,0,3,7,,33,7.0,2020
Shohei Ohtani,153,29,6,0,7,22,,56,16.0,2020
Justin Upton,147,30,5,0,9,11,,62,16.0,2020
Anthony Rendon,189,54,11,1,9,38,,94,38.0,2020
David Fletcher,207,66,13,0,3,20,,88,33.0,2020
Wyatt Mathisen,27,6,0,0,2,5,,12,4.0,2020
Carson Kelly,122,27,5,0,5,6,,47,12.0,2020
Kole Calhoun,190,43,9,0,16,28,,100,33.0,2020
Tim Locastro,69,20,4,1,2,8,,32,12.0,2020
Nick Ahmed,199,53,10,1,5,18,,80,26.0,2020
Christian Walker,218,59,18,1,7,19,,100,33.0,2020
Kevin Cron,17,0,0,0,0,1,,0,0.0,2020
Andrew Young,26,5,2,0,1,5,,10,3.0,2020
Pavin Smith,37,10,0,1,1,5,,15,5.0,2020
Jon Jay,50,8,1,0,1,3,,12,2.0,2020
Josh VanMeter,70,9,3,0,2,7,,18,4.0,2020
Josh Rojas,61,11,0,0,0,7,,11,3.0,2020
Stephen Vogt,72,12,5,0,1,8,,20,5.0,2020
Daulton Varsho,101,19,5,2,3,12,,37,10.0,2020
David Peralta,203,61,10,1,5,13,,88,30.0,2020
Ketel Marte,181,52,14,1,2,7,,74,23.0,2020
Eduardo Escobar,203,43,7,3,4,15,,68,18.0,2020
Anthony Santander,153,40,13,1,11,10,,88,27.0,2020
Chris Davis,52,6,3,0,0,3,,9,1.0,2020
Andrew Velazquez,63,10,1,1,0,10,,13,4.0,2020
DJ Stewart,88,17,2,0,7,20,,40,14.0,2020
Bryan Holaday,31,5,1,0,0,2,,6,1.0,2020
Ramón Urías,25,9,2,0,1,2,,14,6.0,2020
Austin Hays,122,34,2,0,4,8,,48,16.0,2020
Renato Núñez,195,50,10,0,12,17,,96,30.0,2020
Cedric Mullins,140,38,4,3,3,8,,57,18.0,2020
Jose Iglesias,142,53,17,0,3,3,,79,31.0,2020
Pat Valaika,141,39,4,0,8,8,,67,21.0,2020
Hanser Alberto,219,62,15,0,3,5,,86,26.0,2020
Chance Sisco,98,21,4,0,4,17,,37,12.0,2020
Ryan Mountcastle,126,42,5,0,5,11,,62,24.0,2020
Pedro Severino,160,40,5,1,5,16,,62,20.0,2020
Rio Ruiz,185,41,11,0,9,17,,79,23.0,2020
Deivy Grullón,3,1,0,0,0,1,,1,0.0,2020
Kevin Plawecki,82,28,5,1,1,5,,38,14.0,2020
J.D. Martinez,211,45,16,0,7,22,,82,24.0,2020
Christian Arroyo,50,12,1,0,3,4,,22,7.0,2020
Jackie Bradley Jr.,191,54,11,0,7,23,,86,31.0,2020
Michael Chavis,146,31,5,2,5,8,,55,14.0,2020
Jonathan Araúz,72,18,2,0,1,8,,23,7.0,2020
