Player,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,_x,TeamID,Hit_Score,Walk_Score,Bats_Score,Bases_Score,AB,H,2B,3B,HR,BB,_y,TB,Runs,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team,SB_Score
Jo Adell,47.9,71.5,78.9,29.7,50.9,42.1,38.2,49.7,29.8,7.5,87.0,282,35.5,31.6,23.8,9.2,41.1,34.0,24.8,5.0,27.3,30.1,17.4,7.4,30.5,1840,282,33,11.7,44.7,89.8,15.9,0.224,0.418,0.312,0.397,,108,417.662,1806.68,749.4,243.416,405,84,15,2,20,35,,163,44.0,28.8,83,86,3,0,LA-ANGELS,14.712
Logan O'Hoppe,47.0,72.4,77.3,34.0,45.7,41.4,36.0,52.0,33.6,6.9,80.1,326,38.0,29.4,26.4,6.1,42.3,35.3,22.4,3.1,26.7,24.5,26.7,7.1,42.9,1983,326,39,12.0,46.3,90.4,15.3,0.251,0.454,0.331,0.442,,108,459.556,1968.9,823.1,263.039,479,117,17,1,20,33,,196,57.0,28.1,178,71,2,1,LA-ANGELS,14.381
Taylor Ward,51.0,64.8,82.3,20.8,49.1,42.2,29.9,43.2,25.5,7.9,78.4,430,32.3,36.3,27.7,3.7,32.3,36.3,31.4,1.2,26.0,30.5,22.3,6.7,41.9,2599,430,56,13.0,42.4,90.9,17.4,0.251,0.458,0.344,0.419,,108,528.126,2555.29,1080.7,282.852,585,144,26,2,25,63,,249,80.0,26.8,404,33,2,1,LA-ANGELS,13.744
Gustavo Campero,52.0,78.3,79.2,36.5,64.5,44.1,41.7,58.2,22.3,6.8,83.3,38,50.0,15.8,23.7,10.5,31.6,39.5,28.9,10.5,42.1,18.4,21.1,5.3,28.9,177,38,1,2.6,15.8,83.8,7.7,0.233,0.303,0.255,0.285,,108,191.92,232.67,79.7,133.083,46,11,0,1,1,0,,16,4.0,28.3,142,77,1,0,LA-ANGELS,14.405
Nolan Schanuel,50.0,62.1,89.5,21.5,71.9,42.5,31.1,41.8,14.4,7.9,72.4,426,46.2,22.5,27.7,3.5,39.2,37.8,23.0,3.8,33.3,24.2,30.8,4.0,36.4,2356,426,15,3.5,25.4,86.1,10.3,0.254,0.355,0.318,0.327,,108,500.479,2352.86,1005.0,248.37,519,130,19,0,13,68,,188,63.0,26.4,459,24,4,1,LA-ANGELS,13.518
Mike Trout,53.1,63.6,84.5,18.6,60.0,43.2,16.8,42.5,20.5,7.8,77.8,82,24.4,39.0,23.2,13.4,39.0,25.6,35.4,4.9,15.9,36.6,19.5,6.1,40.2,574,82,14,17.1,41.5,89.2,25.2,0.271,0.591,0.405,0.483,,108,239.694,584.01,229.6,175.222,109,24,1,2,10,16,,59,19.0,28.9,63,90,2,0,LA-ANGELS,14.855
Kyren Paris,48.1,69.9,78.5,20.5,40.0,33.2,32.2,44.4,29.8,9.4,72.7,34,52.9,20.6,26.5,0.0,26.5,38.2,35.3,0.0,50.0,17.6,11.8,14.7,32.4,234,34,2,5.9,35.3,87.8,6.3,0.182,0.31,0.269,0.317,,108,205.064,269.04,94.0,148.399,51,6,2,0,1,7,,11,2.0,28.9,66,89,7,1,LA-ANGELS,14.719
Zach Neto,48.1,67.9,81.7,31.3,53.4,41.5,32.2,48.9,27.1,7.0,76.3,407,45.2,29.2,18.7,6.9,46.2,33.9,19.9,7.1,29.7,24.8,21.1,8.4,29.0,2289,407,34,8.4,38.8,88.5,12.3,0.236,0.414,0.317,0.376,,108,510.122,2290.53,971.6,270.313,542,135,34,1,23,39,,240,72.0,28.2,163,73,18,8,LA-ANGELS,14.417
Luis Rengifo,46.6,80.0,85.4,35.6,61.2,42.8,47.0,56.3,22.3,7.2,87.2,240,55.4,17.1,23.3,4.2,35.8,40.4,23.8,2.1,41.7,20.0,28.7,5.0,30.4,1084,240,6,2.5,32.5,87.0,6.7,0.262,0.352,0.295,0.316,,108,374.596,1161.23,493.2,208.837,283,85,13,1,6,16,,118,40.0,26.9,380,37,2,6,LA-ANGELS,13.745
Niko Kavadas,51.4,59.4,74.6,17.7,35.0,42.2,21.7,39.1,34.1,7.3,76.5,52,17.3,50.0,25.0,7.7,36.5,32.7,30.8,1.9,9.6,46.2,23.1,7.7,42.3,465,52,6,11.5,40.4,91.7,27.3,0.185,0.371,0.292,0.421,,108,223.007,470.76,175.9,171.114,93,17,2,0,4,11,,31,8.0,26.0,494,19,0,0,LA-ANGELS,13.292
Ketel Marte,49.0,71.3,85.6,26.0,59.6,42.4,29.6,48.2,21.3,7.3,82.7,407,48.9,24.8,21.4,4.9,47.4,35.9,16.7,2.0,35.4,18.2,24.6,7.4,33.7,2146,407,50,12.3,53.8,94.0,9.4,0.294,0.538,0.392,0.447,,109,525.545,2171.7,928.7,284.554,504,147,23,2,36,65,,282,105.0,27.1,343,44,2,1,ARIZONA,13.942
Gabriel Moreno,52.2,59.2,85.0,21.6,70.9,44.4,15.1,41.2,18.5,9.3,66.4,256,49.6,21.1,23.8,5.5,27.3,41.8,30.9,2.3,40.6,21.9,22.7,5.9,33.6,1532,256,17,6.6,41.0,90.0,8.8,0.255,0.384,0.325,0.331,,109,384.989,1524.57,638.8,218.956,305,81,18,1,5,41,,116,41.0,27.2,339,44,1,1,ARIZONA,13.925
Jorge Barrosa,51.6,68.8,77.3,40.0,100.0,45.2,16.7,54.8,14.7,11.3,57.1,16,56.3,6.3,25.0,12.5,25.0,56.3,18.8,12.5,37.5,6.3,37.5,0.0,31.3,62,16,1,6.3,25.0,83.2,9.5,0.342,0.427,0.337,0.382,,109,184.638,115.29,29.8,142.444,17,3,2,0,0,0,,5,1.0,28.0,187,69,0,0,ARIZONA,14.337
Jose Herrera,51.9,61.2,83.0,19.9,50.0,40.3,16.7,41.3,24.2,9.2,67.4,78,52.6,17.9,23.1,6.4,52.6,33.3,14.1,12.8,35.9,17.9,25.6,7.7,34.6,501,78,0,0.0,23.1,84.5,9.0,0.214,0.268,0.25,0.289,,109,219.773,523.57,204.9,139.341,97,22,4,1,1,9,,31,9.0,25.0,572,6,0,0,ARIZONA,12.75
Pavin Smith,49.4,59.3,85.9,17.9,54.4,41.4,19.0,38.4,21.5,7.8,69.4,109,43.1,28.4,22.9,5.5,41.3,41.3,17.4,4.6,30.3,22.0,25.7,2.8,34.9,631,109,16,14.7,44.0,90.2,13.1,0.293,0.529,0.395,0.459,,109,270.604,656.61,265.6,186.366,137,37,11,0,9,18,,75,27.0,26.4,455,25,2,2,ARIZONA,13.595
Lourdes Gurriel Jr.,49.7,69.5,88.2,32.9,62.3,41.7,31.9,51.1,20.2,7.3,77.8,417,38.1,27.1,26.1,8.6,40.5,31.9,27.6,3.4,28.3,28.8,25.7,7.2,33.8,2083,417,28,6.7,40.0,88.4,15.7,0.267,0.421,0.319,0.365,,109,517.41,2134.54,916.8,270.079,513,143,22,2,18,29,,223,71.0,26.6,433,29,7,2,ARIZONA,13.619
Adrian Del Castillo,49.4,69.3,77.4,30.6,50.0,43.5,26.4,49.7,31.1,9.2,90.3,52,32.7,38.5,23.1,5.8,40.4,28.8,30.8,3.8,23.1,30.8,26.9,3.8,36.5,336,52,6,11.5,34.6,87.6,18.3,0.215,0.389,0.293,0.397,,109,220.274,374.06,137.2,164.31,80,25,5,0,4,7,,42,15.0,25.5,541,11,0,0,ARIZONA,13.043
Alek Thomas,53.0,66.0,83.1,30.3,52.8,43.5,30.1,49.2,25.1,8.9,66.7,79,60.8,19.0,20.3,0.0,44.3,35.4,20.3,5.1,48.1,11.4,20.3,7.6,26.6,372,79,6,7.6,46.8,91.2,1.0,0.278,0.446,0.337,0.379,,109,256.59,427.52,166.9,175.141,95,18,5,1,3,7,,34,8.0,27.8,228,63,5,2,ARIZONA,14.237
Corbin Carroll,47.2,59.8,85.8,24.9,62.8,41.2,25.6,41.4,20.3,7.3,67.7,471,44.6,22.1,21.2,12.1,37.8,36.5,25.7,4.0,35.7,27.0,18.7,7.0,27.8,2648,471,34,7.2,40.8,89.3,12.0,0.241,0.391,0.324,0.349,,109,557.257,2635.14,1124.1,284.802,589,136,22,14,22,73,,252,80.0,29.6,27,96,13,4,ARIZONA,15.124
Blaze Alexander,48.5,75.1,81.2,29.2,43.9,44.7,38.4,51.5,29.6,7.4,86.8,118,52.5,25.4,16.1,5.9,25.4,36.4,38.1,6.8,37.3,23.7,22.9,5.9,22.9,714,118,4,3.4,34.7,88.5,8.5,0.204,0.281,0.258,0.3,,109,277.534,742.35,296.8,175.273,166,41,7,0,3,15,,57,18.0,28.6,97,84,2,0,ARIZONA,14.558
Geraldo Perdomo,53.5,58.9,89.6,19.3,71.1,46.8,21.6,40.5,12.2,8.1,75.0,291,44.0,25.1,21.6,9.3,36.4,35.4,28.2,7.2,29.9,31.3,25.4,3.1,28.9,1580,291,9,3.1,25.8,87.0,16.9,0.231,0.314,0.281,0.282,,109,389.498,1594.56,677.7,207.203,337,92,21,2,3,36,,126,43.0,27.0,365,40,15,3,ARIZONA,13.781
Jake McCarthy,50.7,67.0,91.1,31.1,58.4,42.6,32.3,49.3,17.6,8.4,80.0,372,52.2,21.0,21.8,5.1,35.5,40.1,24.5,10.2,35.8,21.0,25.8,4.3,30.4,1786,372,10,2.7,24.5,84.5,9.1,0.265,0.359,0.311,0.331,,109,464.368,1850.07,796.2,236.493,442,126,13,7,8,31,,177,59.0,29.8,15,98,3,0,ARIZONA,15.211
Eugenio Suárez,50.6,66.9,81.2,27.0,44.8,42.3,33.8,47.2,29.1,7.9,78.5,406,32.5,33.3,26.4,7.9,49.3,28.8,21.9,4.7,20.4,28.8,25.6,8.9,40.4,2542,406,46,11.3,42.4,89.1,19.5,0.247,0.447,0.33,0.421,,109,510.012,2490.58,1046.8,275.212,571,146,28,2,30,49,,268,84.0,26.5,444,27,1,0,ARIZONA,13.58
Randal Grichuk,48.0,67.6,88.7,28.6,59.9,38.6,26.5,47.3,20.4,7.6,73.5,210,36.2,29.0,22.4,12.4,44.8,37.6,17.6,3.3,23.8,31.0,23.3,7.6,34.3,1088,210,23,11.0,47.6,90.6,17.3,0.278,0.483,0.359,0.401,,109,360.98,1129.4,473.4,220.665,254,74,20,2,12,20,,134,46.0,27.5,279,54,0,1,ARIZONA,14.109
Austin Riley,50.1,72.1,81.3,28.0,49.8,42.9,33.3,50.1,27.5,7.1,86.8,309,36.2,31.1,26.9,5.8,35.9,37.5,26.5,1.3,26.9,27.2,20.7,8.4,37.2,1822,309,46,14.9,53.4,93.3,15.9,0.267,0.505,0.361,0.455,,144,450.46,1817.82,762.9,263.605,425,109,26,2,19,37,,196,62.0,27.9,208,66,2,1,ATLANTA,14.311
Orlando Arcia,49.9,70.8,82.3,27.6,50.3,41.6,32.9,49.1,26.6,7.3,74.1,431,49.9,21.3,20.2,8.6,46.2,33.2,20.6,3.0,40.4,25.8,18.6,6.5,29.9,2332,431,23,5.3,37.8,88.2,8.6,0.206,0.323,0.261,0.297,,144,526.415,2347.24,1001.3,269.831,551,120,24,0,17,41,,195,53.0,25.6,528,13,0,0,ATLANTA,13.061
Ozzie Albies,46.9,82.6,84.4,33.6,68.7,41.7,43.2,56.6,20.5,6.7,90.0,338,38.2,29.0,23.1,9.8,46.7,34.3,18.9,1.2,28.7,34.0,24.9,4.7,33.4,1649,338,21,6.2,32.0,88.4,18.4,0.246,0.387,0.302,0.323,,144,449.161,1709.39,731.3,241.718,399,100,29,1,10,27,,161,48.0,27.2,328,46,8,1,ATLANTA,13.902
