Player,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,,Hit_Score,Walk_Score,Bats_Score,Bases_Score
"White, Eli",58.1,66.7,87.1,23.9,43.8,43.8,26.2,48.8,21.8,5.6,77.8,27,59.3,25.9,11.1,3.7,44.4,33.3,22.2,7.4,40.7,18.5,18.5,3.7,25.9,160,27,3,11.1,48.1,88.7,8.3,0.204,0.343,0.27,0.342,,-1.036,-1.277,-0.233,-0.914
"Urshela, Gio",50.1,72.7,84.2,36.4,70.4,41.5,37.0,54.6,20.3,8.1,78.8,365,46.6,19.7,29.0,4.7,31.5,40.8,27.7,3.8,36.4,21.9,26.8,5.2,38.6,1693,365,18,4.9,28.4,86.4,10.5,0.262,0.4,0.307,0.344,,-0.126,-0.256,-0.221,-1.896
"Williams, Luke",53.5,72.8,85.1,28.7,43.5,45.9,36.5,52.3,25.6,5.2,66.7,34,38.2,41.2,14.7,5.9,41.2,32.4,26.5,2.9,26.5,44.1,17.6,5.9,23.5,172,34,1,2.9,29.4,89.6,18.6,0.166,0.27,0.237,0.261,,-2.926,-0.368,-0.233,-3.488
"Merrifield, Whit",48.5,66.2,88.1,25.8,65.0,41.6,26.6,45.4,18.7,6.8,75.8,245,45.7,24.5,23.7,6.1,35.9,31.0,33.1,8.2,29.0,29.4,27.3,3.3,34.3,1330,245,6,2.4,21.6,84.1,12.9,0.242,0.323,0.3,0.303,,-4.414,-1.391,-0.225,-6.739
"Acuña Jr., Ronald",51.5,71.0,77.0,21.4,56.4,44.2,43.2,47.0,27.5,7.8,84.5,139,51.8,21.6,23.0,3.6,41.7,36.0,22.3,3.6,36.7,18.7,24.5,6.5,31.7,905,139,13,9.4,48.2,92.2,8.5,0.256,0.43,0.35,0.41,,1.609,-1.298,-0.229,1.283
"Ozuna, Marcell",44.1,72.5,77.4,26.5,49.6,40.5,32.0,46.8,31.4,6.6,81.1,440,38.0,31.6,27.3,3.2,46.8,32.0,21.1,3.4,25.2,19.1,25.2,11.4,40.5,2875,440,68,15.5,53.4,92.1,14.4,0.283,0.583,0.404,0.512,,3.527,-0.288,-0.217,5.609
"Albies, Ozzie",46.9,82.6,84.5,33.6,68.7,41.7,43.2,56.6,20.5,6.7,90.0,338,38.2,29.0,23.1,9.8,46.7,34.3,18.9,1.2,28.7,34.0,24.9,4.7,33.4,1649,338,21,6.2,32.0,88.4,18.4,0.246,0.404,0.308,0.33,,-0.35,-0.307,-0.222,-1.251
"Tromp, Chadwick",51.1,66.7,74.2,40.4,44.4,50.0,31.5,53.8,36.7,4.9,66.7,36,44.4,25.0,30.6,0.0,36.1,36.1,27.8,5.6,30.6,19.4,33.3,8.3,38.9,182,36,1,2.8,36.1,88.1,6.0,0.242,0.336,0.257,0.366,,1.608,1.359,-0.233,-0.617
"Arcia, Orlando",49.9,70.8,82.3,27.6,50.6,41.6,32.9,49.1,26.6,7.3,74.1,431,49.9,21.3,20.2,8.6,46.2,33.2,20.6,3.0,40.4,25.8,18.6,6.5,29.9,2332,431,23,5.3,37.8,88.2,8.6,0.204,0.332,0.266,0.304,,-1.46,-0.514,-0.218,-2.476
"Olson, Matt",48.1,72.3,78.0,28.7,63.6,43.1,34.0,49.7,26.3,6.9,82.3,435,35.9,30.3,26.0,7.8,38.4,34.7,26.9,3.7,25.3,27.6,23.0,7.4,35.4,2947,435,54,12.4,47.4,91.5,16.1,0.242,0.454,0.342,0.415,,1.461,-0.631,-0.217,2.922
"Biggio, Cavan",53.8,55.4,83.9,18.1,48.8,44.9,26.3,38.2,23.8,8.2,73.1,118,36.4,27.1,22.0,14.4,33.9,44.9,21.2,8.5,26.3,33.9,22.9,5.9,37.3,955,118,3,2.5,16.9,82.0,21.2,0.179,0.245,0.26,0.3,,-6.279,-1.974,-0.229,-6.353
