Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Ryne Nelson,1,1,0,0,0,0,0,0,1,1,1
Pavin Smith,108,33,11,0,4,25,1,1,18,56,24
Josh Naylor,164,49,11,0,5,18,7,2,33,75,28
Geraldo Perdomo,151,44,9,0,5,28,9,0,30,68,30
Alek Thomas,115,33,7,2,0,5,3,2,24,44,14
Corbin Carroll,183,52,8,5,14,17,6,3,25,112,38
Ketel Marte,65,17,4,0,5,12,0,1,8,36,13
Gabriel Moreno,109,26,3,0,1,10,1,1,22,32,10
Lourdes Gurriel Jr.,157,36,11,0,7,6,1,0,18,68,18
Tim Tawa,76,17,2,0,5,10,4,0,10,34,12
Randal Grichuk,60,13,8,0,1,4,0,0,4,24,6
Eugenio Suárez,157,33,8,0,13,17,1,0,12,80,23
Jorge Barrosa,15,3,2,0,0,0,0,0,1,5,1
Jose Herrera,47,9,3,0,1,7,0,0,5,15,4
Garrett Hampson,30,5,0,0,0,9,2,1,5,5,2
Jake McCarthy,41,3,1,0,0,4,1,0,2,4,1
Jordan Lawlar,4,0,0,0,0,1,0,0,0,0,0
