Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Drake Baldwin,71,24,4,0,4,6,0,0,16,40,16
Austin Riley,178,51,7,0,8,10,2,1,36,82,26
Eli White,91,25,6,3,2,7,3,1,14,43,14
Marcell Ozuna,137,37,6,0,6,36,0,0,25,61,26
Alex Verdugo,93,23,8,0,0,6,1,0,15,31,9
Nick Allen,110,27,4,0,0,7,5,3,23,31,9
Michael Harris II,165,39,8,2,3,7,7,2,26,60,16
Sean Murphy,94,21,4,0,7,10,0,0,10,46,14
Matt Olson,155,34,6,0,7,29,0,0,21,61,21
Ozzie Albies,172,37,4,0,5,13,5,0,28,56,16
Jurickson Profar,15,3,0,0,0,1,0,0,3,3,1
Orlando Arcia,31,6,1,0,0,1,0,0,5,7,2
Bryan De La Cruz,47,9,1,0,0,3,1,0,8,10,3
Jarred Kelenic,60,10,2,0,2,5,0,1,6,18,4
Stuart Fairchild,26,3,1,1,0,1,2,0,1,6,1
Luke Williams,1,0,0,0,0,0,2,0,0,0,0
Chadwick Tromp,5,0,0,0,0,1,0,0,0,0,0
Eddie Rosario,4,0,0,0,0,0,0,0,0,0,0
