Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Vidal Bruján,1,1,0,0,0,0,0,0,1,1,1
Ramón Laureano,259,75,17,0,15,22,4,3,43,137,46
Ryan O'Hearn,311,88,15,1,13,42,3,1,59,144,53
Jeremiah Jackson,170,47,10,2,5,11,0,2,30,76,23
Gunnar Henderson,577,158,34,5,17,62,30,5,102,253,91
Jordan Westburg,328,87,10,1,17,17,1,2,59,150,44
Ryan Mountcastle,332,83,18,0,7,15,3,0,58,122,35
Emmanuel Rivera,120,30,4,0,0,6,1,0,26,34,10
Ramón Urías,258,64,12,0,8,21,2,0,44,100,31
Jackson Holliday,586,142,21,3,17,56,17,11,101,220,66
Gary Sánchez,91,21,2,0,5,4,0,0,14,38,10
Cedric Mullins,314,72,19,0,15,34,14,4,38,136,42
Dylan Beavers,110,25,5,1,4,26,2,2,15,44,16
Alex Jackson,91,20,8,0,5,5,0,0,7,43,11
Adley Rutschman,322,71,16,2,9,40,0,0,44,118,36
Coby Mayo,263,57,12,0,11,27,3,0,34,102,30
Daniel Johnson,24,5,1,0,0,2,1,1,4,6,1
Dylan Carlson,217,44,9,1,6,21,3,3,28,73,19
Tyler O'Neill,181,36,6,1,9,22,4,0,20,71,21
Colton Cowser,327,64,14,0,16,27,14,0,34,126,35
Heston Kjerstad,156,30,5,2,4,6,1,0,19,51,11
Chadwick Tromp,16,3,1,0,1,0,0,0,1,7,1
Jorge Mateo,79,14,4,0,1,4,15,2,9,21,6
Samuel Basallo,109,18,6,0,4,6,0,0,8,36,8
Luis Vázquez,50,8,1,0,1,3,2,0,6,12,3
Ryan Noda,13,2,0,0,0,1,1,0,2,2,1
Jacob Stallings,35,4,1,0,0,1,0,0,3,5,1
Vimael Machín,11,1,0,0,1,1,0,0,0,4,1
Maverick Handley,41,3,0,0,0,2,0,0,3,3,0
Cooper Hummel,1,0,0,0,0,0,0,0,0,0,0
David Bañuelos,1,0,0,0,0,0,0,0,0,0,0
Jordyn Adams,5,0,0,0,0,0,0,0,0,0,0
Greg Allen,14,0,0,0,0,0,0,1,0,0,0
Trevor Rogers,2,0,0,0,0,0,0,0,0,0,0
Terrin Vavra,1,0,0,0,0,0,0,0,0,0,0
