Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Romy Gonzalez,315,96,23,3,9,18,6,5,61,152,50
Nate Eaton,81,24,4,0,1,6,9,2,19,31,12
Roman Anthony,257,75,18,1,8,40,4,1,48,119,47
Nathaniel Lowe,100,28,6,1,2,15,0,0,19,42,16
Alex Bregman,433,118,28,0,18,51,1,1,72,200,70
Rafael Devers,272,74,18,0,15,56,1,1,41,137,54
Rob Refsnyder,182,49,12,0,9,24,3,0,28,88,32
Masataka Yoshida,188,50,11,0,4,10,3,0,35,73,23
Trevor Story,612,161,29,0,25,33,31,1,107,265,86
Nick Sogard,96,25,8,0,0,5,2,1,17,33,10
Jarren Duran,620,159,41,13,16,60,24,6,89,274,90
Ceddanne Rafaela,546,136,34,4,16,28,20,5,82,226,66
Wilyer Abreu,373,92,17,0,22,40,6,3,53,175,56
Carlos Narváez,403,97,27,0,15,38,1,1,55,169,51
Abraham Toro,259,62,13,0,7,14,2,1,42,96,27
Marcelo Mayer,127,29,8,1,4,8,0,2,16,51,13
Kristian Campbell,229,51,10,0,6,29,2,1,35,79,25
David Hamilton,177,35,4,1,6,13,22,6,24,59,16
Connor Wong,168,32,8,0,0,16,2,1,24,40,11
Triston Casas,99,18,3,0,3,11,0,0,12,30,8
Jhostynxon Garcia,7,1,1,0,0,2,0,0,0,2,1
Blake Sabol,16,2,1,0,0,1,0,0,1,3,1
Alí Sánchez,2,0,0,0,0,0,0,0,0,0,0
