Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Carson Kelly,83,24,2,1,8,20,0,0,13,52,22
Miguel Amaya,80,22,8,0,3,2,0,0,11,39,11
Nico Hoerner,157,43,8,1,0,8,8,2,34,53,17
Ian Happ,160,43,9,0,3,24,2,1,31,61,22
Pete Crow-Armstrong,169,45,11,1,11,9,13,3,22,91,28
Kyle Tucker,171,45,9,3,10,30,10,0,23,90,36
Michael Busch,138,35,8,1,7,17,2,0,19,66,23
Dansby Swanson,167,41,7,1,9,15,4,0,24,77,25
Seiya Suzuki,163,39,7,2,11,14,1,2,19,83,24
Jon Berti,72,16,2,0,0,4,7,1,14,18,6
Gage Workman,14,3,1,0,0,1,1,0,2,4,1
Vidal Bruján,10,2,1,0,0,0,1,1,1,3,0
Justin Turner,62,11,1,0,0,10,1,0,10,12,4
Matt Shaw,58,10,1,0,1,10,0,0,8,14,4
Nicky Lopez,14,1,0,0,0,4,0,0,1,1,0
Colin Rea,1,0,0,0,0,0,0,0,0,0,0
Moisés Ballesteros,4,0,0,0,0,0,0,0,0,0,0
