Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Austin Wynns,40,16,3,0,3,3,0,0,10,28,12
Miguel Andujar,103,37,7,0,4,6,0,0,26,56,22
Gavin Lux,446,120,28,2,5,56,1,0,85,167,59
Austin Hays,380,101,16,5,15,29,7,0,65,172,56
Elly De La Cruz,629,166,31,7,22,67,37,8,106,277,97
Noelvi Marte,339,89,17,2,14,16,10,3,56,152,45
TJ Friedl,579,151,22,2,14,81,12,3,113,219,79
Sal Stewart,55,14,1,0,5,3,0,0,8,30,9
Santiago Espinal,301,73,12,0,0,21,2,1,61,85,25
Spencer Steer,509,121,21,2,21,51,7,1,77,209,65
Jose Trevino,282,67,20,0,4,15,0,0,43,99,27
Ke'Bryan Hayes,158,37,6,1,3,18,2,1,27,54,17
Jake Fraley,168,39,8,0,6,24,4,2,25,65,21
Tyler Stephenson,299,69,18,0,13,37,0,1,38,126,39
Will Benson,230,52,8,2,12,16,2,2,30,100,27
Matt McLain,510,112,18,0,15,55,18,2,79,175,55
Connor Joe,61,13,4,0,0,6,2,2,9,17,5
Christian Encarnacion-Strand,130,27,4,0,6,3,0,2,17,49,10
Tyler Callihan,6,1,0,0,0,0,0,0,1,1,0
Garrett Hampson,18,3,1,0,0,1,0,0,2,4,1
Blake Dunn,60,9,2,0,1,8,1,1,6,14,3
Rece Hinds,43,5,1,0,2,1,0,0,2,12,2
Jeimer Candelario,80,9,2,0,2,9,0,1,5,17,3
Will Banfield,10,1,0,0,0,0,0,0,1,1,0
Jacob Hurtubise,12,1,0,0,0,1,0,0,1,1,0
