Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Petey Halpin,6,2,0,0,0,2,0,0,2,2,1
Dom Nuñez,7,2,0,0,0,0,0,0,2,2,1
José Ramírez,593,168,34,3,30,66,44,7,101,298,112
Steven Kwan,625,170,29,1,11,55,21,5,129,234,80
Kyle Manzardo,470,110,19,2,27,48,2,0,62,214,66
Brayan Rocchio,344,80,18,2,5,22,8,4,55,117,32
Carlos Santana,396,89,10,0,11,52,7,0,68,132,43
Angel Martínez,446,100,23,2,11,23,8,2,64,160,43
C.J. Kayfus,123,27,10,1,4,11,4,0,12,51,15
George Valera,41,9,2,0,2,7,0,0,5,17,6
Gabriel Arias,432,95,25,2,11,27,8,4,57,157,41
Nolan Jones,355,75,14,2,5,39,8,3,54,108,32
Daniel Schneemann,379,78,18,1,12,38,9,3,47,134,38
Johnathan Rodríguez,71,14,4,1,2,6,1,0,7,26,7
Bo Naylor,359,70,22,1,14,45,1,2,33,136,38
Will Wilson,78,15,4,0,0,7,2,0,11,19,5
David Fry,146,25,4,0,8,9,1,0,13,53,12
Jhonkensy Noel,148,24,2,0,6,4,0,0,16,44,8
Austin Hedges,155,25,3,0,5,18,1,2,17,43,10
Lane Thomas,125,20,2,0,4,14,4,1,14,34,9
Will Brennan,11,1,0,0,0,1,0,1,1,1,0
