Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Tyler Freeman,377,106,20,2,2,34,18,9,82,136,46
Hunter Goodman,540,150,28,5,31,33,1,2,86,281,89
Mickey Moniak,434,117,20,8,24,22,9,3,65,225,69
Jordan Beck,539,139,27,5,16,43,19,8,91,224,70
Ezequiel Tovar,360,91,18,4,9,21,5,3,60,144,42
Thairo Estrada,154,39,9,0,3,6,1,3,27,57,15
Warming Bernabel,139,35,8,1,4,7,1,1,22,57,16
Blaine Crim,54,13,2,0,5,5,0,0,6,30,9
Ryan Ritter,187,45,9,3,1,10,3,1,32,63,18
Brenton Doyle,502,117,23,2,15,30,18,2,77,189,55
Kyle Farmer,277,63,14,0,8,17,0,1,41,101,27
Kyle Karros,137,31,4,0,1,15,0,0,26,38,12
Yanquiel Fernández,138,31,5,0,4,8,0,0,22,48,13
Nick Martini,102,23,4,0,1,9,0,0,18,30,9
Keston Hiura,18,4,1,0,0,0,0,0,3,5,1
Ryan McMahon,350,76,15,1,16,49,2,1,44,141,44
Braxton Fulford,108,23,5,2,1,7,1,0,15,35,9
Orlando Arcia,172,35,6,1,3,9,0,1,25,52,12
Sam Hilliard,51,10,3,1,2,10,2,1,4,21,7
Michael Toglia,306,58,15,1,11,28,3,0,31,108,28
Aaron Schunk,32,6,1,0,0,0,0,0,5,7,1
Austin Nola,38,7,1,0,0,2,0,0,6,8,2
Adael Amador,113,20,7,0,1,11,1,1,12,30,7
Alan Trejo,40,7,2,0,0,1,0,0,5,9,2
Sean Bouchard,66,11,0,1,1,7,1,1,9,16,4
Kris Bryant,39,6,2,0,0,2,0,0,4,8,2
Owen Miller,14,2,0,0,0,2,1,0,2,2,1
Jacob Stallings,84,12,3,0,0,5,0,0,9,15,3
Zac Veen,34,4,1,0,1,2,1,1,2,8,1
Drew Romo,3,0,0,0,0,0,0,0,0,0,0
