Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Brewer Hicklen,3,2,0,0,0,1,1,0,2,2,2
Tomás Nido,32,11,0,0,0,0,0,0,11,11,4
Manuel Margot,19,6,0,0,0,0,0,0,6,6,2
Javier Báez,123,38,8,0,5,5,1,1,25,61,20
Kerry Carpenter,146,43,6,1,9,5,1,1,27,78,24
Gleyber Torres,121,35,5,0,5,12,4,0,25,55,20
Zach McKinstry,137,39,8,3,1,20,3,0,27,56,22
Riley Greene,165,45,7,0,10,12,1,0,28,82,27
Dillon Dingler,119,32,6,1,4,1,0,0,21,52,14
Trey Sweeney,139,37,3,1,4,14,2,1,29,54,18
Andy Ibáñez,61,15,2,0,2,6,3,0,11,23,8
Spencer Torkelson,154,37,11,0,11,23,1,0,15,81,28
Colt Keith,108,24,3,0,4,20,0,0,17,39,13
Jake Rogers,18,4,0,1,0,4,0,0,3,6,2
Justyn-Henry Malloy,73,16,4,0,1,18,0,0,11,23,9
Jace Jung,45,5,0,0,0,7,0,0,5,5,1
Ryan Kreidler,38,4,0,0,0,4,2,0,4,4,1
Akil Baddoo,3,0,0,0,0,0,0,0,0,0,0
