Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Jeremy Peña,162,51,8,0,6,11,6,1,37,77,28
Jake Meyers,120,36,6,1,2,12,7,2,27,50,19
Isaac Paredes,150,40,6,1,6,27,0,0,27,66,25
Zach Dezenzo,69,18,6,0,1,8,1,0,11,27,9
Mauricio Dubón,58,15,4,0,0,3,2,0,11,19,6
Jose Altuve,160,41,6,0,4,11,3,3,31,59,17
Victor Caratini,62,15,3,0,2,6,0,0,10,24,7
Yainer Diaz,141,33,6,1,4,4,0,1,22,53,13
Chas McCormick,30,7,1,0,0,5,1,1,6,8,3
Brendan Rodgers,87,19,4,0,1,8,0,1,14,26,7
Cam Smith,98,21,2,1,3,12,1,0,15,34,10
Yordan Alvarez,100,21,4,0,3,16,1,0,14,34,11
Christian Walker,154,32,7,1,4,12,0,0,20,53,14
