Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Nolan Schanuel,488,129,23,1,12,59,5,1,93,190,66
Zach Neto,502,129,29,1,26,33,26,9,73,238,72
Carter Kieboom,8,2,0,0,0,0,0,0,2,2,0
Luis Rengifo,501,119,16,3,9,33,10,7,91,168,47
Jo Adell,526,124,18,1,37,33,5,1,68,255,72
Yoán Moncada,248,58,13,2,12,32,0,0,31,111,36
Mike Trout,456,106,14,1,26,87,2,0,65,200,72
Matthew Lugo,69,16,2,1,4,0,0,0,9,32,7
Taylor Ward,579,132,31,2,36,75,4,1,63,275,87
Jorge Soler,279,60,12,0,12,28,0,0,36,108,31
Logan O'Hoppe,423,90,8,1,19,24,2,1,62,157,40
Tim Anderson,83,17,3,0,0,3,1,1,14,20,5
Bryce Teodosio,138,28,7,2,1,5,7,1,18,42,10
Kevin Newman,114,23,2,0,2,1,1,0,19,31,7
Christian Moore,162,32,5,1,7,19,3,0,19,60,17
Travis d'Arnaud,213,42,13,0,6,13,0,0,23,73,18
Kyren Paris,126,24,4,1,6,10,7,1,13,48,13
Denzer Guzman,42,8,1,0,2,1,0,0,5,15,3
Oswald Peraza,86,16,1,0,2,6,6,0,13,23,7
Logan Davidson,22,4,1,0,1,0,0,0,2,8,1
Sebastián Rivero,33,6,2,0,0,1,1,0,4,8,2
Chris Taylor,78,14,5,0,2,5,2,1,7,25,6
Gustavo Campero,58,10,1,0,3,5,4,1,6,20,5
LaMonte Wade Jr.,65,11,0,0,1,6,1,0,10,14,4
Chad Stevens,13,2,0,0,0,0,0,1,2,2,0
Scott Kingery,27,4,1,0,0,2,1,1,3,5,1
J.D. Davis,9,1,0,0,0,0,0,0,1,1,0
Niko Kavadas,20,2,0,0,0,3,0,0,2,2,0
Nicky Lopez,6,0,0,0,0,0,0,0,0,0,0
