Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Freddie Freeman,116,42,10,1,9,15,0,1,22,81,34
Hyeseong Kim,25,9,0,0,1,0,2,0,8,12,5
Will Smith,111,36,8,0,3,23,2,2,25,53,23
Teoscar Hernández,130,41,10,0,9,4,4,0,22,78,27
Shohei Ohtani,163,50,8,4,13,29,10,3,25,105,44
Andy Pages,148,43,6,1,7,10,5,1,29,72,25
Mookie Betts,155,41,5,1,6,18,3,0,29,66,23
Miguel Rojas,61,16,3,0,1,2,0,0,12,22,6
Tommy Edman,111,28,4,1,8,6,2,1,15,58,17
Eddie Rosario,4,1,0,0,0,0,0,0,1,1,0
Enrique Hernández,90,20,2,0,6,6,0,0,12,40,11
Chris Taylor,32,7,2,0,0,0,0,1,5,9,2
Austin Barnes,42,9,3,0,0,1,0,0,6,12,3
Max Muncy,131,25,7,1,2,21,1,0,15,40,12
Michael Conforto,126,22,8,0,2,20,1,0,12,36,11
James Outman,17,1,0,0,1,2,0,0,0,4,1
Hunter Feduccia,2,0,0,0,0,1,0,0,0,0,0
