Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Rob Brantly,7,3,0,0,0,0,0,0,3,3,1
Dane Myers,83,28,3,0,3,5,7,2,22,40,15
Kyle Stowers,140,42,4,2,10,17,2,1,26,80,30
Griffin Conine,64,18,7,0,1,7,0,1,10,28,9
Xavier Edwards,171,45,3,1,0,19,11,4,41,50,18
Agustín Ramírez,77,20,9,0,5,5,1,1,6,44,13
Liam Hicks,70,18,3,0,3,7,0,0,12,30,10
Connor Norby,82,21,5,1,2,3,4,1,13,34,10
Javier Sanoja,87,21,4,0,1,5,2,2,16,28,8
Otto Lopez,109,25,5,0,2,10,3,1,18,36,11
Ronny Simon,31,7,2,0,0,3,0,0,5,9,3
Eric Wagaman,138,31,8,1,3,11,1,1,19,50,14
Jesús Sánchez,85,19,2,0,1,11,4,0,16,24,8
Nick Fortes,36,8,2,1,0,1,0,0,5,12,3
Graham Pauley,67,14,5,0,0,5,0,0,9,19,5
Matt Mervis,98,18,2,0,7,10,0,0,9,41,11
Derek Hill,52,9,2,0,2,3,4,0,5,17,4
Jonah Bride,40,4,0,0,0,5,0,0,4,4,1
