Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Rhys Hoskins,130,38,7,0,5,21,2,1,26,60,23
Brice Turang,152,44,3,0,3,19,9,3,38,56,21
Jake Bauers,59,17,4,0,3,8,3,0,10,30,12
Sal Frelick,140,38,5,2,2,14,8,2,29,53,19
Eric Haase,27,7,1,0,2,2,0,0,4,14,4
Jackson Chourio,186,48,14,1,7,4,8,2,26,85,24
William Contreras,147,35,3,0,4,25,4,0,28,50,18
Isaac Collins,63,15,4,0,1,8,3,1,10,22,7
Garrett Mitchell,68,14,4,1,0,7,3,0,9,20,6
Christian Yelich,156,32,4,0,7,20,8,2,21,57,18
Caleb Durbin,75,14,3,0,1,4,1,1,10,20,4
Joey Ortiz,140,25,4,0,1,9,4,2,20,32,7
Oliver Dunn,36,6,2,0,0,2,1,0,4,8,2
Daz Cameron,17,2,0,0,0,1,1,0,2,2,0
Vinny Capra,54,4,0,0,1,2,1,0,3,7,1
Andruw Monasterio,5,0,0,0,0,3,0,0,0,0,0
