Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Luke Keaschall,19,7,3,0,0,5,5,0,4,10,7
Harrison Bader,110,33,6,0,4,12,4,2,23,51,19
Matt Wallner,57,15,5,2,1,9,0,0,7,27,10
Brooks Lee,96,25,4,0,4,7,0,1,17,41,12
Jonah Bride,31,8,0,0,0,1,0,0,8,8,2
Byron Buxton,155,40,5,3,9,11,8,0,23,78,26
Ryan Jeffers,109,28,8,0,2,13,0,0,18,42,14
Ty France,153,39,8,0,3,10,1,0,28,56,17
Trevor Larnach,156,39,5,0,7,17,1,1,27,65,21
Carlos Correa,147,35,8,0,2,8,0,0,25,49,14
Kody Clemens,22,5,2,0,2,1,0,0,1,13,3
Willi Castro,93,21,6,0,2,7,2,0,13,33,10
Edouard Julien,91,18,5,0,2,11,0,2,11,29,8
Christian Vázquez,57,11,4,0,1,7,0,1,6,18,5
Mickey Gasper,34,6,1,0,0,4,0,0,5,7,2
Jose Miranda,36,6,0,0,1,0,0,0,5,9,2
Royce Lewis,23,2,0,0,0,2,0,0,2,2,0
DaShawn Keirsey Jr.,35,3,0,0,0,0,4,2,3,3,0
