Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
José Azócar,18,5,0,0,0,2,1,0,5,5,2
Pete Alonso,624,170,41,1,38,61,1,2,90,327,109
Starling Marte,293,79,14,0,9,22,7,2,56,120,39
Francisco Lindor,644,172,35,0,31,65,31,6,106,300,104
Juan Soto,577,152,20,1,43,127,38,4,88,303,128
Brandon Nimmo,587,154,27,0,25,50,13,1,102,256,84
Francisco Alvarez,246,63,12,1,11,27,0,0,39,110,36
Brett Baty,393,100,13,2,18,33,8,0,67,171,55
Jeff McNeil,399,97,21,5,12,49,3,0,59,164,54
Luisangel Acuña,175,41,7,0,0,13,16,1,34,48,17
Mark Vientos,424,99,21,2,17,30,1,0,59,175,50
Jesse Winker,70,16,5,2,1,9,1,0,8,28,9
Luis Torrens,261,59,14,1,5,19,1,0,39,90,25
Ronny Mauricio,168,38,6,0,6,15,4,0,26,62,19
Tyrone Taylor,310,69,18,3,2,16,12,2,46,99,27
Jared Young,43,8,1,0,4,2,0,0,3,21,5
Cedric Mullins,121,22,4,1,2,16,8,0,15,34,11
Hayden Senger,72,13,1,0,0,3,0,0,12,14,3
Jose Siri,32,2,2,0,0,4,2,0,0,4,1
