Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Aaron Judge,541,179,30,2,53,124,12,5,94,372,169
Amed Rosario,33,10,3,0,1,0,0,0,6,16,5
Paul Goldschmidt,489,134,31,1,10,36,5,1,92,197,64
Giancarlo Stanton,249,68,8,0,24,29,0,0,36,148,52
Cody Bellinger,588,160,25,5,29,57,13,2,101,282,97
DJ LeMahieu,128,34,3,0,2,14,0,0,29,43,15
José Caballero,79,21,6,0,3,14,15,3,12,36,16
Jasson Domínguez,381,98,18,1,10,41,23,5,69,148,51
Ben Rice,467,119,28,4,26,50,3,2,61,233,76
Oswaldo Cabrera,107,26,4,0,1,11,0,1,21,33,10
Jazz Chisholm Jr.,462,112,15,1,31,58,31,8,65,222,75
Trent Grisham,494,116,9,1,34,82,3,2,72,229,78
Austin Wells,401,88,22,1,21,30,5,1,44,175,48
Anthony Volpe,539,114,32,4,19,43,18,8,59,211,56
Ryan McMahon,159,33,8,0,4,21,1,0,21,53,16
J.C. Escarra,84,17,5,0,2,11,1,0,10,28,8
Pablo Reyes,31,6,1,0,0,2,1,0,5,7,2
Jorbit Vivas,56,9,2,0,1,5,0,0,6,14,3
Oswald Peraza,158,24,5,0,3,11,3,0,16,38,8
Austin Slater,25,3,0,0,0,0,0,0,3,3,0
