Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Jacob Wilson,486,151,26,0,13,27,5,2,112,216,75
Carlos Cortes,94,29,8,1,4,3,0,0,16,51,17
Miguel Andujar,218,65,10,1,6,11,1,0,48,95,32
Nick Kurtz,420,122,26,2,36,63,2,1,58,260,99
Shea Langeliers,481,133,32,0,31,36,7,1,70,258,85
Tyler Soderstrom,561,155,34,1,25,55,8,3,95,266,91
Brett Harris,73,20,5,0,0,7,1,0,15,25,9
Brent Rooker,626,164,40,3,30,65,6,1,91,300,100
Gio Urshela,181,43,14,1,0,13,0,1,28,59,17
Lawrence Butler,569,133,30,2,21,59,22,7,80,230,71
Darell Hernaiz,173,40,5,1,2,17,3,4,32,53,15
Luis Urías,287,66,7,0,8,31,2,1,51,97,30
Denzel Clarke,148,34,8,2,3,6,6,0,21,55,15
Colby Thomas,120,27,5,0,6,7,2,1,16,50,13
Austin Wynns,63,14,5,0,3,2,0,0,6,28,7
Max Muncy,206,44,7,0,9,10,1,1,28,78,19
JJ Bleday,307,65,17,0,14,36,1,2,34,124,36
Max Schuemann,183,36,4,2,2,22,7,1,28,50,15
Willie MacIver,102,19,5,0,3,7,3,0,11,33,8
Seth Brown,65,12,2,0,1,9,1,0,9,17,5
CJ Alexander,17,3,0,0,0,0,0,0,3,3,1
Jhonny Pereda,40,7,2,0,0,6,0,0,5,9,3
Zack Gelof,92,16,3,0,2,7,1,2,11,25,5
Logan Davidson,20,3,1,0,0,3,0,0,2,4,1
Drew Avans,15,2,0,0,0,0,1,0,2,2,0
