Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Edmundo Sosa,48,16,4,0,0,4,0,0,12,20,8
Weston Wilson,13,4,0,0,1,0,0,0,3,7,2
Trea Turner,167,50,7,0,2,14,10,4,41,63,23
Nick Castellanos,165,47,11,0,4,10,1,0,32,70,23
Johan Rojas,77,21,2,1,1,6,5,1,17,28,10
Kyle Schwarber,157,41,3,1,15,30,4,1,22,91,35
Alec Bohm,155,40,6,1,2,7,1,0,31,54,16
Bryson Stott,151,39,5,2,3,15,8,0,29,57,20
Cal Stevenson,8,2,0,0,0,0,0,0,2,2,0
J.T. Realmuto,132,33,7,1,4,15,4,1,21,54,18
Bryce Harper,161,38,9,0,7,31,6,0,22,68,26
Max Kepler,139,31,8,0,5,15,0,0,18,54,16
Brandon Marsh,65,12,3,0,1,8,0,1,8,18,5
Rafael Marchán,25,4,0,0,0,6,0,0,4,4,1
Kody Clemens,6,0,0,0,0,1,0,0,0,0,0
