Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Nick Gonzales,3,1,0,0,1,0,0,0,0,4,1
Isiah Kiner-Falefa,113,32,3,1,1,7,7,2,27,40,14
Joey Bart,114,31,4,1,1,20,1,0,25,40,15
Ke'Bryan Hayes,154,40,3,2,1,9,5,1,34,50,16
Andrew McCutchen,122,31,7,0,3,18,1,0,21,47,17
Oneil Cruz,130,31,5,0,8,26,16,1,18,60,25
Liover Peguero,9,2,0,0,0,0,0,0,2,2,0
Adam Frazier,122,27,4,0,2,11,4,1,21,37,11
Matt Gorski,38,8,0,1,2,0,0,1,5,16,3
Alexander Canario,62,13,2,0,2,6,0,0,9,21,6
Enmanuel Valdez,91,19,4,2,2,11,0,0,11,33,10
Bryan Reynolds,175,34,5,0,5,15,3,2,24,54,14
Endy Rodríguez,45,8,3,0,0,5,0,1,5,11,3
Tommy Pham,108,19,4,0,0,12,3,0,15,23,6
Jared Triolo,78,13,5,0,2,6,4,0,6,24,6
Henry Davis,37,5,0,0,1,3,0,0,4,8,2
Jack Suwinski,39,5,1,0,0,6,3,0,4,6,2
Ji Hwan Bae,11,1,0,0,0,1,2,0,1,1,0
Tsung-Che Cheng,7,0,0,0,0,0,0,1,0,0,0
