Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Jackson Merrill,68,28,4,1,4,3,1,1,19,46,19
Manny Machado,153,52,14,0,3,19,7,1,35,75,32
Fernando Tatis Jr.,159,49,5,1,11,19,8,2,32,89,35
Gavin Sheets,124,36,7,0,5,9,1,0,24,58,20
Luis Arraez,147,42,4,2,3,8,2,1,33,59,19
Jake Cronenworth,54,15,3,0,3,14,1,0,9,27,12
Tyler Wade,56,15,1,1,0,9,0,2,13,18,6
Elias Díaz,81,20,3,0,3,10,0,0,14,32,11
Xander Bogaerts,144,35,9,0,3,20,6,0,23,53,19
Brandon Lockridge,51,12,4,0,0,4,6,0,8,16,6
Jose Iglesias,92,21,4,0,0,3,2,0,17,25,7
Oscar González,59,13,1,0,0,2,0,1,12,14,3
Martín Maldonado,62,12,1,0,2,3,0,0,9,19,4
Jason Heyward,75,13,2,0,2,6,0,1,9,21,5
Yuli Gurriel,36,4,1,0,0,4,0,0,3,5,1
Tirso Ornelas,14,1,0,0,0,2,0,0,1,1,0
Connor Joe,9,0,0,0,0,1,0,0,0,0,0
Mason McCoy,5,0,0,0,0,0,0,0,0,0,0
Luis Campusano,6,0,0,0,0,4,0,0,0,0,0
