Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Heliot Ramos,163,47,11,0,7,14,3,1,29,79,27
Jung Hoo Lee,168,48,11,2,6,11,3,1,29,81,27
Tyler Fitzgerald,81,23,4,1,2,6,5,1,16,35,12
Mike Yastrzemski,136,38,9,0,5,21,5,2,24,62,23
Wilmer Flores,153,39,2,0,7,11,1,0,30,62,19
David Villar,16,4,1,0,0,4,0,0,3,5,2
Christian Koss,58,14,0,0,1,4,0,0,13,17,5
Willy Adames,173,39,10,0,5,20,2,2,24,64,19
Matt Chapman,155,34,6,0,8,31,5,2,20,64,23
Sam Huff,40,8,1,0,1,3,0,0,6,12,3
Patrick Bailey,112,20,6,1,0,8,0,0,13,28,7
Casey Schmitt,23,4,2,0,0,0,0,0,2,6,1
Luis Matos,60,10,2,0,3,4,1,0,5,21,5
LaMonte Wade Jr.,115,18,6,1,1,16,0,0,10,29,8
Brett Wisely,10,0,0,0,0,0,0,1,0,0,0
