Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Leo Rivas,45,15,1,0,0,10,4,0,14,16,9
Jorge Polanco,108,35,6,0,10,8,1,1,19,71,26
Dylan Moore,91,26,2,0,7,9,7,4,17,49,16
Victor Robles,44,12,3,0,0,0,3,0,9,15,5
J.P. Crawford,140,38,4,0,3,23,2,0,31,51,20
Cal Raleigh,153,38,8,0,13,27,5,1,17,85,31
Randy Arozarena,140,33,10,0,5,27,9,0,18,58,23
Ben Williamson,94,22,4,0,1,3,0,1,17,29,7
Julio Rodríguez,170,39,5,2,7,17,5,1,25,69,21
Miles Mastrobuoni,76,16,3,0,0,8,2,2,13,19,5
Luke Raley,68,14,2,0,2,10,2,1,10,22,7
Mitch Garver,64,13,1,0,1,14,2,0,11,17,6
Ryan Bliss,35,7,1,0,1,4,2,2,5,11,3
Rowdy Tellez,91,17,3,0,6,5,0,0,8,38,9
Leody Taveras,24,4,1,0,0,1,1,0,3,5,1
Donovan Solano,58,8,1,0,0,1,0,0,7,9,1
Rhylan Thomas,8,1,1,0,0,1,0,0,0,2,0
Samad Taylor,8,1,0,0,0,0,0,0,1,1,0
Dominic Canzone,3,0,0,0,0,0,0,0,0,0,0
