Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Iván Herrera,39,15,4,0,5,5,0,0,6,34,15
Thomas Saggese,41,14,4,0,1,2,0,0,9,21,8
Yohel Pozo,42,14,3,0,1,1,0,0,10,20,7
Brendan Donovan,163,51,13,0,3,14,3,1,35,73,27
Masyn Winn,114,32,6,0,5,15,2,3,21,53,18
Victor Scott II,133,37,6,1,2,14,13,1,28,51,20
Alec Burleson,117,32,4,0,3,8,3,0,25,45,15
Lars Nootbaar,168,43,9,0,7,31,4,2,27,73,27
Willson Contreras,160,41,7,0,6,16,2,0,28,66,22
Nolan Arenado,154,39,10,0,4,17,1,0,25,61,20
Michael Siani,16,4,0,0,0,1,0,0,4,4,1
Pedro Pagés,105,25,8,0,2,5,0,0,15,39,11
Luken Baker,34,8,3,0,0,7,0,0,5,11,4
Jose Barrero,16,3,1,0,1,0,0,0,1,7,1
Jordan Walker,125,23,2,0,2,10,3,2,19,31,7
Nolan Gorman,75,13,5,0,1,13,0,1,7,21,6
