Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Jonny DeLuca,57,19,1,3,0,2,6,0,15,26,11
Richie Palacios,42,14,2,0,1,5,4,0,11,19,9
Jonathan Aranda,370,117,22,0,14,41,0,2,81,181,68
Yandy Díaz,583,175,29,1,25,57,3,1,120,281,102
Jake Mangum,405,120,18,1,3,19,27,6,98,149,52
Chandler Simpson,414,122,15,3,0,20,44,12,104,143,51
Junior Caminero,602,159,28,0,45,41,7,1,86,322,101
Travis Jankowski,31,8,2,0,0,2,2,0,6,10,3
Brandon Lowe,507,130,19,0,31,38,3,2,80,242,74
Tristan Gray,78,18,5,0,3,6,0,0,10,32,9
Curtis Mead,115,26,2,1,3,12,4,1,20,39,12
José Caballero,235,53,12,1,2,33,34,8,38,73,27
Matt Thaiss,71,16,2,1,0,6,0,0,13,20,6
Josh Lowe,396,87,21,2,11,33,18,4,53,145,42
Taylor Walls,282,62,14,1,4,26,14,6,43,90,26
Christopher Morel,278,61,16,0,11,25,7,2,34,110,32
Ha-Seong Kim,84,18,3,0,2,8,6,1,13,27,8
Nick Fortes,89,19,3,0,3,7,1,0,13,31,9
Kameron Misner,197,42,9,1,5,16,8,1,27,68,20
Bob Seymour,78,16,1,1,1,4,1,0,13,22,6
Danny Jansen,221,45,8,0,11,33,0,0,26,86,26
Coco Montes,10,2,0,0,0,0,0,0,2,2,0
Carson Williams,99,17,3,0,5,6,2,1,9,35,8
Hunter Feduccia,86,13,5,0,0,14,1,0,8,18,5
Everson Pereira,65,9,1,0,2,7,2,0,6,16,4
Ben Rortvedt,63,6,1,0,0,7,0,0,5,7,1
Tristan Peters,12,0,0,0,0,0,0,0,0,0,0
