Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Corey Seager,380,103,19,0,21,58,3,0,63,185,69
Dylan Moore,27,7,0,0,2,1,2,1,5,13,3
Rowdy Tellez,116,30,5,0,6,9,0,0,19,53,17
Sam Haggerty,162,41,7,3,2,16,12,4,29,60,20
Josh Smith,495,124,23,2,10,55,12,3,89,181,60
Josh Jung,482,121,23,1,14,27,4,1,83,188,55
Evan Carter,194,48,9,2,5,19,14,2,32,76,26
Wyatt Langford,489,118,25,1,22,74,22,6,70,211,74
Kyle Higashioka,303,73,14,1,11,20,3,1,47,122,35
Leody Taveras,79,19,3,1,1,2,6,1,14,27,8
Jake Burger,356,84,15,1,16,12,1,1,52,149,39
Michael Helman,99,23,5,1,5,7,4,0,12,45,14
Tucker Barnhart,13,3,0,0,0,1,0,0,3,3,1
Marcus Semien,470,108,16,1,15,50,11,1,76,171,54
Cody Freeman,114,26,4,0,3,5,1,1,19,39,10
Adolis García,507,115,28,0,19,28,13,4,68,200,54
Ezequiel Duran,205,46,14,0,0,8,11,2,32,60,16
Jonah Heim,395,84,14,0,11,32,3,0,59,131,36
Alejandro Osuna,151,32,4,0,2,21,5,4,26,42,13
Kevin Pillar,43,9,2,0,0,0,3,0,7,11,3
Billy McKinney,20,4,1,0,0,1,0,0,3,5,1
Dustin Harris,40,8,3,0,1,3,1,1,4,14,3
Joc Pederson,265,48,10,1,9,34,2,0,28,87,24
Justin Foscue,9,1,1,0,0,0,0,0,0,2,0
Jack Leiter,1,0,0,0,0,0,0,0,0,0,0
Jonathan Ornelas,5,0,0,0,0,1,0,0,0,0,0
Nick Ahmed,9,0,0,0,0,1,1,0,0,0,0
Blaine Crim,11,0,0,0,0,1,0,0,0,0,0
Donovan Solano,3,0,0,0,0,0,0,0,0,0,0
