Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Tyler Heineman,43,17,4,0,1,1,2,0,12,24,10
Alejandro Kirk,123,36,4,0,3,4,0,0,29,49,15
Vladimir Guerrero Jr.,158,46,8,0,4,25,0,1,34,66,25
Myles Straw,69,20,4,0,1,3,2,1,15,27,9
George Springer,125,36,10,1,5,24,6,0,20,63,27
Bo Bichette,179,50,13,0,3,12,4,2,34,72,23
Ernie Clement,112,31,7,0,1,5,2,2,23,41,12
Nathan Lukes,63,17,2,0,2,9,0,2,13,25,8
Daulton Varsho,40,9,1,0,5,3,1,0,3,25,7
Addison Barger,61,13,6,0,1,4,0,0,6,22,6
Andrés Giménez,128,25,5,0,3,10,9,1,17,39,11
Anthony Santander,151,29,5,0,5,17,0,0,19,49,13
Will Wagner,59,11,2,0,0,8,1,0,9,13,4
Alan Roden,73,13,3,0,1,5,0,0,9,19,4
Jonatan Clase,18,2,1,0,0,0,0,0,1,3,0
Davis Schneider,15,1,0,0,0,5,0,0,1,1,0
Michael Stefanic,1,0,0,0,0,0,0,0,0,0,0
