Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Drew Millas,37,13,4,1,0,3,2,0,8,19,8
Trey Lipscomb,3,1,0,0,0,0,0,0,1,1,0
Daylen Lile,250,78,14,10,7,18,8,6,47,133,46
Luis García Jr.,393,106,24,1,16,21,13,5,65,180,55
CJ Abrams,394,106,29,4,15,29,20,3,58,188,63
Josh Bell,362,95,14,0,18,43,0,2,63,163,54
Alex Call,127,32,6,2,1,20,0,1,23,45,16
Paul DeJong,128,32,8,0,1,8,3,0,23,43,13
James Wood,389,95,29,0,19,68,11,5,47,181,65
Brady House,182,44,7,0,4,6,4,1,33,63,17
Keibert Ruiz,204,48,10,0,1,6,0,2,37,61,15
Nathaniel Lowe,302,71,10,2,14,33,1,0,45,127,40
Jacob Young,235,55,6,1,2,16,10,5,46,69,20
José Tena,138,32,10,2,0,13,2,1,20,46,14
Amed Rosario,61,14,1,0,2,2,0,0,11,21,5
Robert Hassell III,162,36,8,0,3,6,4,0,25,53,14
Nasim Nuñez,52,11,1,0,2,3,5,0,8,18,5
Dylan Crews,218,46,7,1,9,21,10,5,29,82,23
Jorge Alfaro,30,6,1,0,0,0,0,0,5,7,1
Riley Adams,176,35,6,0,5,12,1,0,24,56,14
Andrés Chaparro,24,3,0,0,1,0,0,0,2,6,1
CJ Stubbs,2,0,0,0,0,0,0,0,0,0,0
