Player,Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
"Kim, Ha-Seong",2025,790,57.1,54.1,88.9,21.2,69.4,46.1,24.6,40.0,15.5,9.4,52.7
"Fraley, Jake",2025,834,48.3,69.0,87.1,26.4,48.2,41.4,34.7,47.0,24.2,7.1,78.0
"Ozuna, Marcell",2025,2635,48.1,57.9,81.1,22.3,57.7,42.3,18.3,39.4,25.8,6.4,71.6
"Profar, Jurickson",2025,1580,49.4,65.7,89.2,24.2,66.8,45.8,27.5,44.7,16.9,7.4,77.6
"Allen, Nick",2025,1582,53.9,67.8,84.9,25.8,59.0,42.9,33.4,48.4,21.5,8.2,76.2
"Bruján, Vidal",2025,345,53.3,76.1,85.7,27.3,47.7,43.2,50.5,53.3,23.4,9.3,100.0
"Olson, Matt",2025,3166,49.0,66.5,78.2,24.9,62.6,43.8,27.7,45.3,26.2,7.4,75.3
"Albies, Ozzie",2025,2402,46.6,77.9,85.2,33.5,67.3,42.3,37.9,54.1,20.8,7.2,87.9
"Harris II, Michael",2025,2177,49.1,71.3,88.2,43.1,55.3,43.7,37.0,57.0,24.4,6.1,73.7
"Murphy, Sean",2025,1357,52.2,68.0,78.0,25.9,38.1,42.7,35.1,47.9,32.3,6.9,79.8
"Wisely, Brett",2025,261,51.0,66.9,83.1,31.3,70.0,45.2,34.9,49.4,20.9,10.0,69.2
"Robinson, Chuckie",2025,4,75.0,100.0,100.0,0.0,0.0,50.0,50.0,75.0,0.0,0.0,0.0
"Acuña Jr., Ronald",2025,1741,49.9,69.3,73.8,23.1,57.4,43.7,39.7,46.2,30.3,7.2,82.5
"Riley, Austin",2025,1791,52.3,72.2,78.1,27.7,48.9,41.8,28.5,51.0,29.5,9.4,82.7
"Alvarez Jr., Nacho",2025,819,53.5,58.4,82.0,25.2,66.7,42.9,14.9,43.0,22.2,8.1,59.1
"Baldwin, Drake",2025,1750,50.3,70.0,85.9,28.8,67.2,42.3,33.4,49.5,19.5,8.3,74.7
"White, Eli",2025,1001,54.8,72.1,81.1,29.6,52.2,43.6,29.9,52.9,26.2,10.7,86.0
Braves,2025,24559,50.7,67.6,82.4,27.7,58.4,43.1,30.5,47.9,24.4,7.7,76.6
MLB,2025,710084,50.7,66.8,82.7,28.2,55.3,43.0,32.1,47.8,25.3,7.8,76.3
