Name,Season,TB,xTB,BB,xBB,AB,xAB,H,xH,SB,xSB,CS,xCS,MB,xMB
Tim Locastro,2019.0,72.0,68.7518119483159,14.0,14.83,212.0,210.56,53.0,42.76831511666135,17.0,17.0,0.0,0.0,25.0,21.0
Trea Turner,2019.0,259.0,226.88141457811807,43.0,44.73,521.0,510.62,155.0,133.47408321994607,35.0,35.0,5.0,5.0,96.0,78.0
Byron Buxton,2019.0,139.0,108.79233987455143,19.0,19.11,271.0,259.19,71.0,61.174420584363915,14.0,14.0,3.0,3.0,44.0,33.0
,,,,,,,,,,,,,,,
Myles Straw,2019.0,37.0,45.07115713254575,19.0,18.9,108.0,119.56,29.0,30.54887642994106,8.0,8.0,1.0,1.0,16.0,18.0
Roman Quinn,2019.0,40.0,27.88687344870469,12.0,11.8,108.0,105.25,23.0,20.818379774400263,8.0,8.0,0.0,0.0,13.0,9.0
Garrett Hampson,2019.0,115.0,100.19234871748799,24.0,27.77,299.0,298.0,74.0,63.321990064675525,15.0,15.0,3.0,3.0,37.0,30.0
Tyler O'Neill,2019.0,58.0,41.340624479152424,10.0,10.19,141.0,138.2,37.0,21.08178746036907,1.0,1.0,0.0,0.0,18.0,9.0
Adam Engel,2019.0,87.0,75.74609919296692,14.0,14.92,227.0,223.41,55.0,43.337721732391174,3.0,3.0,3.0,3.0,24.0,18.0
Adalberto Mondesi,2019.0,176.0,154.2594262308386,19.0,19.59,415.0,393.0,109.0,86.17169565545197,43.0,43.0,7.0,7.0,57.0,43.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jon Berti,2019.0,104.0,84.89035506423268,24.0,25.38,256.0,252.09,70.0,57.30547273505107,17.0,17.0,3.0,3.0,37.0,27.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Harrison Bader,2019.0,127.0,144.42144565350742,46.0,43.91,347.0,357.99,71.0,81.27635325797311,11.0,11.0,3.0,3.0,39.0,46.0
Billy Hamilton,2019.0,87.0,87.24958744204409,32.0,32.52,316.0,312.9,69.0,60.21906922902655,22.0,22.0,6.0,6.0,27.0,25.0
,,,,,,,,,,,,,,,
Richie Martin,2019.0,91.0,90.76589306110164,14.0,16.02,283.0,278.51,59.0,60.971303166406784,10.0,10.0,1.0,1.0,24.0,25.0
,,,,,,,,,,,,,,,
Lewis Brinson,2019.0,50.0,71.55490370468218,13.0,13.46,226.0,220.72,39.0,45.931374744431224,1.0,1.0,1.0,1.0,11.0,18.0
Kevin Kiermaier,2019.0,178.0,176.32037210263883,26.0,26.13,447.0,433.57,102.0,107.77003647968894,19.0,19.0,5.0,5.0,49.0,53.0
Delino DeShields,2019.0,124.0,119.76701150480574,38.0,40.48,357.0,370.56,89.0,83.03700155689685,24.0,24.0,6.0,6.0,42.0,38.0
Tommy Edman,2019.0,163.0,129.75285447712517,16.0,20.41,326.0,321.72,99.0,80.31110838187189,15.0,15.0,1.0,1.0,58.0,41.0
Mallex Smith,2019.0,171.0,155.5577654264182,42.0,44.95,510.0,513.83,116.0,103.40411473312983,46.0,46.0,9.0,9.0,54.0,46.0
Nick Senzel,2019.0,160.0,155.34040316482714,30.0,32.84,375.0,383.1,96.0,95.42259713119886,14.0,14.0,5.0,5.0,50.0,48.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ryan Cordell,2019.0,77.0,81.92629856936593,19.0,18.36,217.0,215.42,48.0,47.940972765806094,3.0,3.0,1.0,1.0,22.0,23.0
,,,,,,,,,,,,,,,
Fernando Tatis Jr.,2019.0,197.0,147.37238616226892,30.0,31.21,334.0,326.39,106.0,74.00685328095085,16.0,16.0,6.0,6.0,73.0,43.0
Victor Robles,2019.0,229.0,184.43352674306743,35.0,39.22,546.0,543.27,139.0,112.25018606871777,28.0,28.0,9.0,9.0,70.0,49.0
Trevor Story,2019.0,326.0,262.3595229796142,58.0,59.55,588.0,587.19,173.0,159.30377755633702,23.0,23.0,8.0,8.0,117.0,90.0
Mike Trout,2019.0,303.0,264.0504951686439,110.0,107.27,470.0,500.07,137.0,135.6655457185622,11.0,11.0,2.0,2.0,131.0,107.0
,,,,,,,,,,,,,,,
Keon Broxton,2019.0,56.0,57.49904548358592,20.0,22.6,204.0,208.23,34.0,30.701406136453414,10.0,10.0,6.0,6.0,13.0,13.0
,,,,,,,,,,,,,,,
Amed Rosario,2019.0,266.0,250.7852910187094,31.0,31.93,616.0,608.04,177.0,151.4365850869903,19.0,19.0,10.0,10.0,84.0,70.0
Jake Marisnick,2019.0,120.0,97.2865868669918,17.0,18.61,292.0,287.15,68.0,61.91258183578515,10.0,10.0,3.0,3.0,33.0,26.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Charlie Tilson,2019.0,41.0,41.509298965356564,10.0,10.16,144.0,139.79,33.0,31.604216188650582,4.0,4.0,0.0,0.0,12.0,12.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cory Spangenberg,2019.0,34.0,36.66445696635607,6.0,5.65,95.0,94.54,22.0,15.990816253758979,3.0,3.0,0.0,0.0,10.0,8.0
Scott Kingery,2019.0,217.0,178.100029361235,34.0,36.22,458.0,442.16,118.0,105.5541573921829,15.0,15.0,4.0,4.0,68.0,54.0
Yonathan Daza,2019.0,23.0,34.151945494684966,7.0,6.69,97.0,95.3,20.0,25.93405018718387,1.0,1.0,0.0,0.0,6.0,11.0
,,,,,,,,,,,,,,,
Niko Goodrum,2019.0,178.0,163.5386078076267,46.0,44.02,423.0,426.62,105.0,105.60653019146153,12.0,12.0,3.0,3.0,58.0,53.0
Trent Grisham,2019.0,64.0,54.81455862342952,20.0,21.12,156.0,158.67,36.0,35.297429872088586,1.0,1.0,0.0,0.0,21.0,17.0
,,,,,,,,,,,,,,,
Manuel Margot,2019.0,154.0,149.90850123472092,38.0,40.84,398.0,399.67,93.0,96.88102704287475,20.0,20.0,4.0,4.0,48.0,49.0
Greg Allen,2019.0,80.0,79.11708617372034,11.0,12.48,231.0,227.53,53.0,57.14888762101663,8.0,8.0,2.0,2.0,22.0,24.0
Starling Marte,2019.0,271.0,237.89420040911438,25.0,29.64,539.0,535.75,159.0,136.1985396482949,25.0,25.0,6.0,6.0,90.0,71.0
Derek Fisher,2019.0,54.0,59.344675189458314,21.0,20.95,146.0,147.01,27.0,25.769014328819935,5.0,5.0,1.0,1.0,16.0,17.0
Tyler Wade,2019.0,34.0,40.85160357694639,11.0,10.24,94.0,94.96,23.0,23.24772226130066,7.0,7.0,0.0,0.0,13.0,15.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Victor Reyes,2019.0,119.0,94.01213982111281,14.0,15.14,276.0,272.82,84.0,67.29363971641578,9.0,9.0,3.0,3.0,41.0,27.0
Brett Gardner,2019.0,247.0,193.38245311594818,52.0,55.71,491.0,493.63,123.0,122.86157736036593,10.0,10.0,2.0,2.0,81.0,64.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Andrew McCutchen,2019.0,100.0,90.42813856128993,43.0,42.28,219.0,235.43,56.0,57.629960873332756,2.0,2.0,1.0,1.0,38.0,33.0
,,,,,,,,,,,,,,,
Cole Tucker,2019.0,53.0,49.09243410864039,10.0,10.51,147.0,150.13,31.0,38.398199308339656,0.0,0.0,0.0,0.0,14.0,15.0
Jorge Alfaro,2019.0,183.0,174.10624906431505,22.0,23.5,431.0,413.86,113.0,94.20129501659737,4.0,4.0,4.0,4.0,53.0,46.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cody Bellinger,2019.0,351.0,295.04845777217145,95.0,90.91,558.0,576.4,170.0,168.02624647485766,15.0,15.0,5.0,5.0,143.0,115.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nick Solak,2019.0,57.0,57.80667054011472,15.0,14.58,116.0,119.38,34.0,27.55619686446404,2.0,2.0,0.0,0.0,22.0,19.0
J.T. Realmuto,2019.0,265.0,243.50510327892727,41.0,44.13,538.0,537.74,148.0,141.09176773223513,9.0,9.0,1.0,1.0,88.0,79.0
Tim Anderson,2019.0,253.0,191.35438891498393,15.0,17.68,498.0,480.41,167.0,117.54665573733814,17.0,17.0,5.0,5.0,91.0,53.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Chris Taylor,2019.0,169.0,135.26490345362237,37.0,37.33,366.0,368.93,96.0,86.57138803932705,8.0,8.0,0.0,0.0,58.0,43.0
Adam Duvall,2019.0,68.0,79.36047282477062,7.0,7.87,120.0,118.93,32.0,21.814466514755708,0.0,0.0,0.0,0.0,21.0,19.0
Dansby Swanson,2019.0,204.0,220.01249986043558,51.0,51.71,483.0,491.24,121.0,129.49996753734627,10.0,10.0,5.0,5.0,65.0,73.0
,,,,,,,,,,,,,,,
Christian Yelich,2019.0,328.0,262.1395413634774,80.0,74.3,489.0,501.5,161.0,137.57196240488275,30.0,30.0,2.0,2.0,146.0,103.0
Cameron Maybin,2019.0,118.0,102.1814323228645,30.0,29.4,239.0,241.29,68.0,56.70956337176654,9.0,9.0,6.0,6.0,42.0,31.0
Bubba Starling,2019.0,59.0,55.43005282490826,9.0,9.88,186.0,176.05,40.0,28.9087562546258,2.0,2.0,0.0,0.0,15.0,12.0
Tommy Pham,2019.0,255.0,265.2712569173251,81.0,82.57,567.0,575.04,155.0,156.36719956650109,25.0,25.0,4.0,4.0,97.0,100.0
,,,,,,,,,,,,,,,
Travis Demeritte,2019.0,58.0,35.12256214300302,14.0,14.2,169.0,173.21,38.0,35.752138461901126,3.0,3.0,0.0,0.0,17.0,10.0
Ozzie Albies,2019.0,320.0,264.29336614998124,54.0,50.3,640.0,617.43,189.0,155.78492557706173,15.0,15.0,4.0,4.0,113.0,83.0
Joey Wendle,2019.0,81.0,78.21381930238674,14.0,14.5,238.0,238.05,55.0,57.63778529860601,8.0,8.0,3.0,3.0,22.0,23.0
Willi Castro,2019.0,34.0,25.891662685767727,6.0,5.47,100.0,98.19,23.0,15.648916745019271,0.0,0.0,1.0,1.0,9.0,5.0
Aristides Aquino,2019.0,118.0,100.15972007047188,16.0,15.96,205.0,205.12,53.0,41.495888089996605,7.0,7.0,0.0,0.0,38.0,27.0
,,,,,,,,,,,,,,,
Tim Lopes,2019.0,40.0,40.45944864690583,15.0,12.96,111.0,116.12,30.0,25.51977565571908,6.0,6.0,3.0,3.0,14.0,12.0
Whit Merrifield,2019.0,315.0,252.84845201670782,45.0,44.36,681.0,659.62,206.0,157.6327285727043,20.0,20.0,10.0,10.0,108.0,72.0
,,,,,,,,,,,,,,,
Hunter Pence,2019.0,158.0,124.72068460795028,26.0,24.05,286.0,289.15,85.0,70.68493621802449,6.0,6.0,1.0,1.0,57.0,38.0
Jose Altuve,2019.0,275.0,212.66025467789083,41.0,40.55,500.0,494.49,149.0,121.57971897724514,6.0,6.0,5.0,5.0,95.0,63.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Raimel Tapia,2019.0,177.0,149.54721391693568,21.0,19.73,426.0,403.65,117.0,96.62985355241223,9.0,9.0,3.0,3.0,55.0,41.0
Brandon Dixon,2019.0,170.0,158.9074115006577,21.0,25.47,391.0,379.77,97.0,85.26403817978874,5.0,5.0,1.0,1.0,49.0,44.0
,,,,,,,,,,,,,,,
Dee Strange-Gordon,2019.0,141.0,118.68552002982332,18.0,19.64,393.0,377.13,108.0,84.70785765351295,22.0,22.0,5.0,5.0,45.0,33.0
Kevin Newman,2019.0,220.0,170.96949922880816,28.0,28.7,493.0,475.95,152.0,109.72647592803042,16.0,16.0,8.0,8.0,75.0,46.0
Nicky Lopez,2019.0,123.0,122.56442700303242,18.0,24.32,379.0,366.11,91.0,81.19012423606144,1.0,1.0,1.0,1.0,34.0,33.0
Brandon Nimmo,2019.0,81.0,79.26385526003185,46.0,41.07,199.0,213.2,44.0,51.89415014581959,3.0,3.0,0.0,0.0,31.0,30.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jarrod Dyson,2019.0,128.0,126.93702794182758,47.0,45.27,400.0,391.91,92.0,84.73947290960422,30.0,30.0,4.0,4.0,45.0,42.0
Bo Bichette,2019.0,112.0,83.39165743780833,14.0,13.91,196.0,198.03,61.0,55.52549028321133,4.0,4.0,4.0,4.0,38.0,26.0
Joey Rickard,2019.0,60.0,63.005938234831746,18.0,16.21,168.0,171.37,38.0,41.87802577689253,4.0,4.0,2.0,2.0,18.0,19.0
George Springer,2019.0,283.0,244.63116418995395,67.0,67.93,479.0,489.92,140.0,132.82369284990872,6.0,6.0,2.0,2.0,107.0,88.0
Wil Myers,2019.0,182.0,176.23104294873187,51.0,51.48,435.0,430.61,104.0,101.56543651913506,16.0,16.0,7.0,7.0,58.0,56.0
Dylan Moore,2019.0,96.0,86.92756200285395,25.0,27.67,247.0,248.0,51.0,58.982176255808426,11.0,11.0,9.0,9.0,25.0,26.0
Albert Almora Jr.,2019.0,129.0,123.40600605035304,16.0,15.82,339.0,328.83,80.0,69.68113272607064,2.0,2.0,1.0,1.0,35.0,31.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stevie Wilkerson,2019.0,126.0,105.90292807207803,22.0,23.73,329.0,330.42,74.0,71.609006794192,3.0,3.0,3.0,3.0,34.0,28.0
Willy Adames,2019.0,222.0,212.70652160823465,46.0,50.33,531.0,520.12,135.0,124.6309967311563,4.0,4.0,2.0,2.0,69.0,65.0
Adam Eaton,2019.0,242.0,237.01356486757976,65.0,63.63,566.0,571.93,158.0,149.51468699652588,15.0,15.0,3.0,3.0,88.0,81.0
,,,,,,,,,,,,,,,
Mike Brosseau,2019.0,61.0,39.361742979736476,7.0,7.45,132.0,133.39,36.0,32.75223302422088,1.0,1.0,0.0,0.0,19.0,11.0
Rosell Herrera,2019.0,33.0,30.83913994094746,11.0,10.87,105.0,105.43,21.0,21.486744338042378,4.0,4.0,1.0,1.0,9.0,9.0
