Name,Season,MB,xMB,Percent_Error,Abs_Percent_Error
Tim Locastro,2019.0,25.0,21.0,-16.0,16.0
Trea Turner,2019.0,96.0,78.0,-18.75,18.75
Byron Buxton,2019.0,44.0,33.0,-25.0,25.0
Myles Straw,2019.0,16.0,18.0,12.5,12.5
Roman Quinn,2019.0,13.0,9.0,-30.76923076923077,30.76923076923077
Garrett Hampson,2019.0,37.0,30.0,-18.91891891891892,18.91891891891892
Tyler O'Neill,2019.0,18.0,9.0,-50.0,50.0
Adam Engel,2019.0,24.0,18.0,-25.0,25.0
Adalberto Mondesi,2019.0,57.0,43.0,-24.561403508771928,24.561403508771928
Jon Berti,2019.0,37.0,27.0,-27.027027027027028,27.027027027027028
Harrison Bader,2019.0,39.0,46.0,17.94871794871795,17.94871794871795
Billy Hamilton,2019.0,27.0,25.0,-7.4074074074074066,7.4074074074074066
Richie Martin,2019.0,24.0,25.0,4.166666666666666,4.166666666666666
Lewis Brinson,2019.0,11.0,18.0,63.63636363636363,63.63636363636363
Kevin Kiermaier,2019.0,49.0,53.0,8.16326530612245,8.16326530612245
Delino DeShields,2019.0,42.0,38.0,-9.523809523809524,9.523809523809524
Tommy Edman,2019.0,58.0,41.0,-29.310344827586203,29.310344827586203
Mallex Smith,2019.0,54.0,46.0,-14.814814814814813,14.814814814814813
Nick Senzel,2019.0,50.0,48.0,-4.0,4.0
Ryan Cordell,2019.0,22.0,23.0,4.545454545454546,4.545454545454546
Fernando Tatis Jr.,2019.0,73.0,43.0,-41.0958904109589,41.0958904109589
Victor Robles,2019.0,70.0,49.0,-30.0,30.0
Trevor Story,2019.0,117.0,90.0,-23.076923076923077,23.076923076923077
Mike Trout,2019.0,131.0,107.0,-18.3206106870229,18.3206106870229
Keon Broxton,2019.0,13.0,13.0,0.0,0.0
Amed Rosario,2019.0,84.0,70.0,-16.666666666666664,16.666666666666664
Jake Marisnick,2019.0,33.0,26.0,-21.21212121212121,21.21212121212121
Charlie Tilson,2019.0,12.0,12.0,0.0,0.0
Cory Spangenberg,2019.0,10.0,8.0,-20.0,20.0
Scott Kingery,2019.0,68.0,54.0,-20.588235294117645,20.588235294117645
Yonathan Daza,2019.0,6.0,11.0,83.33333333333334,83.33333333333334
Niko Goodrum,2019.0,58.0,53.0,-8.620689655172415,8.620689655172415
Trent Grisham,2019.0,21.0,17.0,-19.047619047619047,19.047619047619047
Manuel Margot,2019.0,48.0,49.0,2.083333333333333,2.083333333333333
Greg Allen,2019.0,22.0,24.0,9.090909090909092,9.090909090909092
Starling Marte,2019.0,90.0,71.0,-21.11111111111111,21.11111111111111
Derek Fisher,2019.0,16.0,17.0,6.25,6.25
Tyler Wade,2019.0,13.0,15.0,15.384615384615385,15.384615384615385
Victor Reyes,2019.0,41.0,27.0,-34.146341463414636,34.146341463414636
Brett Gardner,2019.0,81.0,64.0,-20.98765432098765,20.98765432098765
Andrew McCutchen,2019.0,38.0,33.0,-13.157894736842104,13.157894736842104
Cole Tucker,2019.0,14.0,15.0,7.142857142857142,7.142857142857142
Jorge Alfaro,2019.0,53.0,46.0,-13.20754716981132,13.20754716981132
Cody Bellinger,2019.0,143.0,115.0,-19.58041958041958,19.58041958041958
Nick Solak,2019.0,22.0,19.0,-13.636363636363635,13.636363636363635
J.T. Realmuto,2019.0,88.0,79.0,-10.227272727272728,10.227272727272728
Tim Anderson,2019.0,91.0,53.0,-41.75824175824176,41.75824175824176
Chris Taylor,2019.0,58.0,43.0,-25.862068965517242,25.862068965517242
Adam Duvall,2019.0,21.0,19.0,-9.523809523809524,9.523809523809524
Dansby Swanson,2019.0,65.0,73.0,12.307692307692308,12.307692307692308
Christian Yelich,2019.0,146.0,103.0,-29.45205479452055,29.45205479452055
Cameron Maybin,2019.0,42.0,31.0,-26.190476190476193,26.190476190476193
Bubba Starling,2019.0,15.0,12.0,-20.0,20.0
Tommy Pham,2019.0,97.0,100.0,3.0927835051546393,3.0927835051546393
Travis Demeritte,2019.0,17.0,10.0,-41.17647058823529,41.17647058823529
Ozzie Albies,2019.0,113.0,83.0,-26.548672566371685,26.548672566371685
Joey Wendle,2019.0,22.0,23.0,4.545454545454546,4.545454545454546
Willi Castro,2019.0,9.0,5.0,-44.44444444444444,44.44444444444444
Aristides Aquino,2019.0,38.0,27.0,-28.947368421052634,28.947368421052634
Tim Lopes,2019.0,14.0,12.0,-14.285714285714285,14.285714285714285
Whit Merrifield,2019.0,108.0,72.0,-33.33333333333333,33.33333333333333
