Player,Season,Pitches,Zone_%,Zone_Swing_%,Zone_Contact_%,Chase_%,Chase_Contact_%,Edge_%,1st_Pitch_Swing_%,Swing_%,Whiff_%,Meatball_%,Meatball_Swing_%,BBE,GB_%,FB_%,LD_%,PU_%,Pull_%,Straight_%,Oppo_%,Weak_%,Topped_%,Under_%,Flare/Burner_%,Solid_%,Launch_Angle_Sweet-Spot_%,Barrel_%,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,WOBA,WOBACON,Batted_Balls,Barrels,Hard_Hit_%,Exit_Velocity,Launch_Angle,XBA,XSLG,XWOBA,XWOBACON,Unnamed:_26_level_1,TB
Ha-Seong Kim,2025,790,57.1,54.1,88.9,21.2,69.4,46.1,24.6,40.0,15.5,9.4,52.7,134,37.3,24.6,27.6,10.4,40.3,38.1,21.6,3.0,29.1,29.9,26.1,6.7,33.6,5.2,191,171,40,4,0,5,16,39,0.234,0.304,0.345,0.288,0.318,134,7,43.3,89.7,15.7,0.242,0.356,0.297,0.33,,59
Brett Wisely,2025,261,51.0,66.9,83.1,31.3,70.0,45.2,34.9,49.4,20.9,10.0,69.2,42,28.6,35.7,21.4,14.3,35.7,45.2,19.0,4.8,21.4,38.1,21.4,7.1,28.6,7.1,63,54,10,4,0,1,7,14,0.185,0.279,0.315,0.267,0.286,42,3,31.0,87.3,25.4,0.2,0.347,0.284,0.313,,17
Nick Allen,2025,1582,53.9,67.8,84.9,25.8,59.0,42.9,33.4,48.4,21.5,8.2,76.2,283,47.0,19.1,24.7,9.2,29.3,38.9,31.8,7.4,33.6,27.2,28.6,2.8,29.3,0.0,416,371,82,11,0,0,31,99,0.221,0.284,0.251,0.245,0.278,283,0,21.6,84.8,13.3,0.22,0.267,0.252,0.288,,93
Austin Riley,2025,1791,52.3,72.2,78.1,27.7,48.9,41.8,28.5,51.0,29.5,9.4,82.7,289,34.6,32.9,26.3,6.2,42.6,36.7,20.8,3.1,22.1,26.6,24.6,8.3,37.0,15.2,447,416,108,20,1,16,27,128,0.26,0.309,0.428,0.318,0.422,289,44,50.2,92.3,16.8,0.246,0.472,0.33,0.44,,178
Jurickson Profar,2025,1580,49.4,65.7,89.2,24.2,66.8,45.8,27.5,44.7,16.9,7.4,77.6,259,36.3,31.3,19.3,13.1,44.4,30.5,25.1,3.9,24.7,34.0,23.2,6.2,27.0,7.3,371,318,78,16,1,14,48,59,0.245,0.353,0.434,0.346,0.354,259,19,40.3,89.0,20.0,0.23,0.39,0.325,0.324,,138
Vidal Bruján,2025,345,53.3,76.1,85.7,27.3,47.7,43.2,50.5,53.3,23.4,9.3,100.0,67,46.3,20.9,26.9,6.0,34.3,40.3,25.4,3.0,35.8,25.4,23.9,11.9,35.8,0.0,95,87,22,5,0,0,6,21,0.253,0.305,0.31,0.275,0.317,67,0,37.3,88.2,7.5,0.224,0.32,0.266,0.304,,27
Marcell Ozuna,2025,2635,48.1,57.9,81.1,22.3,57.7,42.3,18.3,39.4,25.8,6.4,71.6,350,40.3,32.6,22.3,4.9,42.9,34.3,22.9,2.9,28.9,24.3,22.3,9.7,35.1,11.4,592,487,113,19,0,21,94,144,0.232,0.355,0.4,0.334,0.374,350,40,44.6,89.9,14.1,0.239,0.448,0.354,0.407,,195
Drake Baldwin,2025,1750,50.3,70.0,85.9,28.8,67.2,42.3,33.4,49.5,19.5,8.3,74.7,337,48.7,24.9,23.1,3.3,35.3,38.3,26.4,3.9,38.3,17.5,23.7,5.6,33.8,11.0,446,405,111,18,2,19,38,68,0.274,0.341,0.469,0.351,0.38,337,37,49.6,91.7,6.5,0.272,0.48,0.353,0.383,,190
Matt Olson,2025,3166,49.0,66.5,78.2,24.9,62.6,43.8,27.7,45.3,26.2,7.4,75.3,453,39.7,28.3,24.7,7.3,36.6,34.9,28.5,2.0,28.0,24.1,22.1,9.3,37.1,14.3,724,624,170,41,2,29,91,176,0.272,0.366,0.484,0.366,0.442,453,65,53.3,93.3,14.8,0.249,0.492,0.36,0.432,,302
Ozzie Albies,2025,2402,46.6,77.9,85.2,33.5,67.3,42.3,37.9,54.1,20.8,7.2,87.9,514,37.2,28.4,23.5,10.9,48.8,33.7,17.5,3.3,27.2,34.6,25.3,4.7,33.5,4.9,667,603,145,23,2,16,55,94,0.24,0.306,0.365,0.295,0.304,514,25,30.7,87.5,18.7,0.243,0.366,0.299,0.31,,220
